,smiles,logP
56,CCc1nc(CC)c(-c2ccccc2)nc1-c1ccccc1,4.83
57,CN(C)C(N(C)C)=S(I)c1ccc(Cl)c(Cl)c1,0.49
58,COc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c(C)n1,0.61
59,COc1cccc2cccnc12,1.84
60,CC(=O)OC1(C(=O)CO)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC21C,2.43
61,CCN(CC)CCN(C=O)c1c(C)cccc1C,3.21
62,CC(=O)NCc1ccccc1,0.95
63,Clc1cc(Cl)c2oc3cc(Cl)c(Cl)cc3c2c1,6.73
64,Cc1cc(C)c(C#[N+][O-])c(C)c1,3.21
65,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.9
66,COP(=O)(OC)OC(C)=CC(=O)OC(C)c1ccccc1,3.3
67,CC(C)(C)C(=O)OCOc1ccccc1C(N)=O,2.0
68,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,4.47
69,Clc1cc2c(cc1Cl)Oc1c(Cl)ccc(Cl)c1O2,6.39
70,Cc1csc(=NC(=N)N)[nH]1,1.24
71,COCC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,-0.14
72,CCCC(=NOCC)C1C(=O)CC2(CCSCC2)OC1=O,2.9
73,CCC(C)C(N)C(=O)NC(C(=O)O)C(C)C,0.16
74,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,5.41
75,COc1ccc(C(N)=O)cc1N=NN(C)C,0.44
76,O=c1[nH]c2ccccc2nc1CC(O)Nc1ccccc1NC(O)Cc1nc2ccccc2[nH]c1=O,3.42
77,CC(C)OC(=O)C1=C(CSc2nc3c(cc2C#N)CCCCC3)OC(=N)C(C#N)[C@@H]1c1ccncc1,5.43
78,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,7.57
79,NS(=O)(=O)c1cc2c(cc1C(F)(F)C(F)(F)F)N=CNS2(=O)=O,1.05
80,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.42
81,COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.65
82,COc1cc2c(c(OC)c1OC)-c1ccc(=O)c(OC)cc1C(NC(C)=O)CC2,1.0
83,O=C1C=CC(=O)c2c(O)ccc(O)c21,1.79
84,COc1ccc(N)c(C)c1,1.23
85,C=CC(=O)OCC,1.32
86,CC(=O)OC=C1CSC2C(NC(=O)CBr)C(=O)N2C1C(=O)O,-0.7
87,CCS(=O)c1sc(C#N)c(OC)c1C#N,2.35
88,CCCCCCCBr,4.36
89,COC(=O)CCCc1ccccc1,2.77
90,CN1C(=O)CN=C(c2c(Cl)cccc2Cl)c2cc(Cl)ccc21,3.04
91,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCCc3ccccc3[N+](=O)[O-])c2s1,1.37
92,CC(=O)Nc1cc(Br)cc(C(F)(F)F)c1Cl,3.41
93,Cc1cc(O)ccc1[N+](=O)[O-],2.48
94,c1ccc(-c2ccncc2)cc1,2.59
95,O=[N+]([O-])c1nonc1-c1ccccc1,2.63
96,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)C(C)(C)C,2.4
97,CCCn1c(SCc2cc(=O)n3cc(Br)ccc3n2)nnc1-c1cccc(C)c1,4.43
98,O=C(O)COc1cc(F)cc(Cl)c1,2.2
99,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.21
100,CC(=O)Nc1cccc(C#N)c1,1.2
101,CCCCN(C)N=Nc1ccc(C(N)=O)cc1,2.46
102,FCC1CO1,-0.16
103,CCCc1c(C)ssc1=O,2.96
104,CCN(CCO)Cc1cccc(COc2ccccc2)c1,3.04
105,C1CCOC1,0.46
106,CCCCCCCCCCCCc1ccc(O)cc1,7.91
107,C#CCN(C)N=Nc1[nH]cnc1C(N)=O,0.33
108,CCOP(=O)(N1CC1(C)C)N1CC1(C)C,1.02
109,CC(C)NNC(=O)C(C)Oc1ccccc1,1.39
110,Cc1cc(=O)oc2cc(O)ccc12,1.9
111,O=C(O)c1cc(O)cc(O)c1,0.86
112,CCCC#N,0.53
113,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,3.03
114,Cn1c([N+](=O)[O-])cnc1C=Cc1cc[nH]c(=N)n1,0.85
115,CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O,0.22
116,COC12C(=COC(N)=O)c3c(O)c(N=c4[nH]cc(C)s4)c(C)c(O)c3N1CC1NC12,1.16
117,Cc1ccccc1[N+](=O)[O-],2.3
118,O=c1[nH]c2c(O)ccc(CCNCCCCCCS(=O)(=O)CCc3ccccc3)c2s1,1.44
119,CNC(=O)c1cc2ccccc2o1,1.85
120,CCCc1n[nH]c(=N)o1,0.23
121,CCOC(=O)C(CC)c1ccc(-n2sc3ccccc3c2=O)cc1,4.11
122,CC=COCC(O)Cn1ccnc1[N+](=O)[O-],0.28
123,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,3.48
124,CCN(CC)CCN,0.21
125,CCCC1=NS(=O)(=O)c2ccc(Cl)cc2N1,2.04
126,Cc1cccc(OCC(=O)O)c1,1.78
127,O=C1C(=O)c2ccccc2-c2ccccc21,2.52
128,CSc1ccccc1NC(C)=O,1.53
129,CCCCCC=NC(=O)CNC(=O)C=[NH+][NH-],1.51
130,c1ccc2c(c1)cnc1ccccc12,3.48
131,C=CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC,1.37
132,COC(=O)CON=C(C)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.54
133,CCOc1ccc(C=CC(C)=O)cc1,2.73
134,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,6.13
135,COC(=O)NCCn1c([N+](=O)[O-])cnc1C,0.02
136,Clc1ccc(Cn2cncn2)cc1,1.84
137,OCC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.94
138,O=NN1CCSCC1,0.4
139,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,1.81
140,CCNCC,0.58
141,CC(=O)Nc1ccc([N+](=O)[O-])cc1,1.66
142,N=c1nc(I)c2ncn(C3CCC(CO)O3)c2[nH]1,0.52
143,CNC(=O)N(C)C(=O)Nc1cc(C(=O)OC)ccc1F,2.28
144,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,0.83
145,CCSC1OC(CO)C(O)C(O)C1O,-1.51
146,CCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.18
147,CCc1ccc(C(=O)O)cc1,2.89
148,O=c1cc(-c2ccccc2)oc2ccccc12,3.56
149,CCCNC,0.84
150,CCC(C)c1ccccc1OC(=O)N(C)C,3.31
151,CN(C)C(=O)Nc1cccc(CCc2ccccc2)c1,3.21
152,O=[N+]([O-])c1ccc(Br)c(Cl)c1,3.25
153,CC(C(=O)O)c1ccc(-c2nc(C(N)=O)cs2)cc1,2.17
154,Clc1cc(Cl)c(Oc2c(Cl)cccc2Cl)cc1Cl,5.98
155,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,2.02
156,CCCCCCC(CCCC)c1ccccc1,7.45
157,COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)C(=O)CC(O)(C(=O)CO)C4,2.74
158,N#CC(C#N)=Cc1ccco1,1.4
159,CC1(CCl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,5.49
160,COc1cc(OC)c(C2C3C(=O)CCCC3=Nc3ncnn32)cc1OC,2.19
161,Cc1cc(C)ncn1,0.62
162,COc1cnc(N(C)C)cn1,1.65
163,OC1c2ccccc2C2CCCCC2C1O,2.32
164,S=C1CCCCCN1,0.75
165,CN(C)C(=O)Oc1cccnc1Cl,1.04
166,CCCc1nnc(SC)n(N)c1=O,0.93
167,COC(=O)Nc1cccc(Cl)c1,2.58
168,Cc1ccc(C)n1N=c1ccc(N(CC(C)O)CC(C)O)n[nH]1,1.55
169,N=c1[nH]cco1,-0.18
170,N#CC(C#N)=C(c1ccccc1)c1ccccc1,3.55
171,Clc1ccc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2c1,6.79
172,CCC(C)c1cccc(C(C)C)c1O,3.85
173,O=C(Cn1ccnc1[N+](=O)[O-])NC(CO)(CO)CO,-1.77
174,CC(=O)c1cccc(OCC(=O)O)c1,0.98
175,O=C(O)c1ccc([N+](=O)[O-])cc1O,1.98
176,Cc1ccc(S(=O)(=O)N(C)c2ccc(OCC(=O)N3CCN(c4ncccn4)CC3)cc2)cc1,4.46
177,CCCCCCCCCCC(C)(C)c1ccc(C2CCCC(O)C2)c(O)c1,8.42
178,COC1CC2(C)C(O)C(F)CC2C2CCc3cc(O)ccc3C12,2.35
179,COC1OCC(O)C(NC(=O)N(C)N=O)C1O,-1.08
180,O=C(C=Cc1ccc(Cl)cc1)C(F)(F)F,3.63
181,CCC(CC)C(=O)NS(=O)(=O)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1,3.57
182,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.82
183,FC(F)(F)c1nc2ccncc2[nH]1,0.94
184,N=c1ccc(Cl)n[nH]1,0.35
185,C[C@@H](NC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1)c1ccccc1,3.48
186,O=[N+]([O-])c1ccc(Cl)cc1,2.39
187,CCCCO[N+](=O)[O-],2.15
188,C#CCOc1ccc(C2C3=C(CC(C)(C)CC3=O)OC3=C2C(=O)CC(C)(C)C3)cc1OCC,4.93
189,Cc1cccc(C)c1NC(=O)C(C)N,0.76
190,Clc1cc(Cl)c(Cl)c(Oc2ccccc2)c1,5.62
191,CCC1(CC2COc3ccccc3O2)C(=O)NC(=O)NC1=O,1.85
192,Brc1ccc(-c2ccccc2)cc1,4.96
193,CN(C)CCC=C1c2ccccc2COc2ccccc21,4.29
194,N=c1cncc(N)[nH]1,-0.45
195,Clc1cc(Cl)c2cc(Cl)cc(Cl)c2c1,6.19
196,COc1cc(C)c2c(c1OC)-c1ccc(OC)c(=O)cc1C(NC(=O)c1ccc([N+](=O)[O-])cc1)CC2,2.96
197,CCC1(C2=CCCCC2)C(=O)NC(=O)N(C)C1=O,2.25
198,O=C(NN=Cc1ccccc1O)c1cccs1,3.03
199,O=[N+]([O-])C=Cc1ccc(Cl)cc1,2.44
200,COc1ccc(-c2cc(C#N)c(Cl)nc2C)cc1OC,2.86
201,CNC(=O)OCc1cccc(COC(=O)NC)n1,0.24
202,OCCCF,-0.28
203,N#CCNc1ccccc1C(=O)O,1.8
204,COC(=O)c1cc(Cl)ccc1N,3.3
205,CNC(=O)NS(=O)(=O)Cc1ccccc1,0.54
206,Cc1c(Sc2ccccc2)no[n+]1[O-],2.63
207,Cc1cc(C#N)ccn1,0.81
208,O=C(c1ccccc1)N1CCCCC1,2.2
209,O=C1NS(=O)(=O)c2ccccc21,0.91
210,Fc1cncc(Cl)n1,1.16
211,CC(C)(C)N,0.4
212,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,7.5
213,Cc1ccc(C=[N+]([O-])c2ccccc2)cc1,2.41
214,O=c1c2c(nc3ccccn13)CCC2,1.19
215,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,5.4
216,COc1cc(C(O)CN)ccc1O,-1.05
217,CN(C)Cc1ccc(C(=O)OCn2ncc3c(=O)[nH]cnc32)cc1,1.05
218,O=C(O)Cc1ccccc1,1.41
219,CNC(=O)ON=C1SCOC1C,0.46
220,COCCN1CCc2cccc(Cl)c2CC1,3.0
221,S=c1ssc2c1CCCCCC2,3.75
222,Cc1cc(C)c(C)c(C)c1,4.1
223,CC1CCCc2nccc(=O)n21,0.3
224,COc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,0.4
225,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(Cl)c3)c2s1,1.92
226,CC(=O)Nc1cc(C(F)(F)F)cc(Cl)c1Cl,3.27
227,CCOCCN(CCOCC)N=O,0.79
228,c1ccc(C2CCNCC2)cc1,2.39
229,O=C(O)/C=C/C=C/c1ccccc1,3.15
230,CCN(CC)C(=O)c1ccccc1,1.25
231,Nc1ccc(C(=O)O)c(N)c1,-0.31
232,N#C/C(=C\c1ccccc1)C(N)=O,1.56
233,N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1ccc(O)cc1,0.92
234,Clc1ccc2cccc(Cl)c2c1,4.56
235,O=[N+]([O-])c1cnc(N=C2OCCN2CCO)s1,0.43
236,COCCN(CCOC)N=O,-0.38
237,Cc1cccc(C)c1C#[N+][O-],2.74
238,O=c1nc(N=CN2CCOCC2)ccn1C1CCC(CO)O1,-0.97
239,O=CC(Cl)(Cl)Cl,0.99
240,Cn1ccc(=O)n(C)c1=O,-0.54
241,Cc1nonc1-c1ccccc1,2.59
242,CCOc1ccc(NC(=O)CN2CCCCC2)cc1,2.82
243,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,4.76
244,c1ccc(-c2cc3ccccc3cn2)nc1,3.05
245,Cc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)cc1C,3.34
246,CC(=O)OC1COC(NC(=O)N(CCl)N=O)C(OC(C)=O)C1OC(C)=O,1.13
247,O=[N+]([O-])c1ccc(O[K])c([N+](=O)[O-])c1,-0.39
248,CC(C)NNC(=O)COc1ccccc1,1.24
249,O=c1cccc[nH]1,-0.58
250,CCCCC1(CC)C(=O)NC(=O)NC1=O,1.73
251,COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,4.3
252,NC(=O)N(CCCN(N=O)C(N)=O)N=O,-0.3
253,CCCCCC(CCCC)c1ccccc1,6.9
254,CCc1cssc1=O,1.9
255,CCn1c(SCC(=O)NC(C)(C)C)nnc1C1CCCCC1,3.2
256,Nc1ccc2ccc3cccc4ccc1c2c34,4.31
257,CCC(C)C(NC(=O)C(N)CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,0.43
258,CCC(C)C(NC(=O)C(N)CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,0.65
259,CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,2.75
260,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,6.02
261,OC1(Cn2cncn2)CCCC1Cc1ccc(Cl)cc1,3.11
262,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,6.89
263,CNC1C2CCC1c1ccccc12,2.37
264,COC(=O)c1cc2ccccc2[nH]1,2.45
265,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,6.5
266,O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],3.37
267,COCC(O)Cn1c([N+](=O)[O-])cnc1C,0.04
268,COC(=O)c1cnn2c(C(F)(F)F)cc(-c3cc(OC)c(OC)c(OC)c3)nc12,4.08
269,CCSC(=O)Oc1cccc2cccnc12,2.74
270,C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O,2.11
271,O=NN1CCCCCC1,0.92
272,O=Cc1ccccc1O,1.81
273,COc1ccc2c(c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.02
274,CCC1CC2C3CC=C4CC(=O)CCC4C3CCC2(C)C1C(=O)CO,4.01
275,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,0.47
276,CN(C)c1ccncc1,1.34
277,CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,1.37
278,Nc1cc(Cl)c(Cl)c(Cl)c1,3.32
279,CC(C)(C)[N+]([O-])=Cc1ccccc1,1.26
280,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,4.85
281,c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO2,0.03
282,CCCC(=O)O,0.79
283,O=C1C=NC(c2ccccc2F)c2cc(Cl)c(Cl)cc2N1,3.63
284,Cc1cnc(C#N)cn1,0.26
285,C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,3.95
286,O=c1nc(N=CN2CCCC2)ccn1C1CC(F)C(CO)O1,-0.16
287,CNC(=O)N(C)C(=O)Nc1cc(Cc2ccccc2)ccc1F,3.9
288,CC(C)(C)C(=O)C1[C@H](c2ccsc2)C(C#N)(C#N)[C@H]2C=Cc3ccccc3N12,3.37
289,Clc1ccc(Oc2cc(Cl)ccc2Cl)cc1,5.66
290,COCCc1ccc(OCC(O)CNC(C)C)cc1,2.07
291,N=c1[nH]cc(Cc2ccccc2)c(=N)[nH]1,1.58
292,CN(C)C(=O)OCCCc1ccccc1,2.93
293,NCC(=O)NCC(=O)O,-2.92
294,CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,5.44
295,O=C1CC(Sc2ccc(Cl)cc2)N1,2.31
296,CCCOC(=O)C(C(=O)OCCC)=C1SCCS1,3.35
297,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-2.17
298,Cc1ccnc2ccccc12,2.61
299,OC(O)C(Cl)(Cl)Cl,0.99
300,CCCC(C)n1nc2ccccc2n1,3.42
301,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)c(F)c1,-0.26
302,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.73
303,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,4.97
304,CC(=O)Oc1ccccc1C(=O)OCC(N)=O,0.22
305,S=c1[nH]cnc2[nH]cnc12,0.01
306,Nc1ccccc1C(=O)O,1.21
307,CC1CCC(=O)N1,-0.1
308,N#CN=[N+]([O-])c1cc[n+]([O-])cc1,-0.41
309,O=C(c1ccc(F)cc1)C1CC1,2.61
310,CCOC(=O)c1cc2ccccc2o1,3.05
311,COc1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cc(OC)ccc4n4cccc34)CC1)c1cccn12,3.72
312,COc1ccc(N)cc1Cl,1.85
313,COc1ccccc1C=O,1.72
314,O=C(Nc1ccc(Cl)cc1Cl)c1ccccc1O,5.49
315,CCC(=O)O,0.33
316,CC(C)CNC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.01
317,COC(=O)Nc1ccc(F)cc1,1.95
318,CC1C(C)N(N=O)C(C)C(C)N1N=O,0.91
319,CC(=O)NNC(=O)Nc1cccc(C)c1,0.75
320,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1Cl,3.51
321,Cc1cc(C)c(C)cc1C,4.0
322,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,4.68
323,Cc1c(C#N)sc(S(C)=O)c1-c1ccc(Cl)cc1,3.8
324,CCOC(=O)n1cnc(CC(NC(=O)c2ccc(O)[nH]2)C(O)N2CCCC2C(N)=O)c1,-1.3
325,CNC12CCC(CN)CC1Cc1ccccc12,1.84
326,CNS(=O)(=O)c1ccc(N)cc1,-0.01
327,COc1ccccc1C=CC(=O)OCCOc1ccc(C=NO)cc1OC,3.56
328,O=c1ccc2ccccc2[nH]1,1.26
329,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,0.07
330,CC1(C)OCCO1,0.46
331,CCCCCCC(=O)O,2.42
332,CCC(C)C(NC(=O)CNC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-1.65
333,O=C(O)CCC1=NS(=O)(=O)c2cc(Cl)c(Cl)cc2N1,1.5
334,Cn1c(C(C#N)C(=O)C(Sc2ccccc2)c2ccccc2)nc2ccccc21,5.28
335,CCCCN(C)C,1.7
336,COc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1,1.17
337,CC(=O)C(O)O,-0.72
338,NC(=O)c1ccccc1OCc1ccc([N+](=O)[O-])cc1,1.73
339,CC(=O)c1ccc(C(C)C)cc1,2.98
340,CCOC(=O)C(=Cc1ccccc1Cl)C(C)=O,2.84
341,O=Cc1ccc(OCC(=O)O)cc1,0.79
342,c1ccc(COCc2ccccc2)cc1,3.31
343,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.05
344,CCc1ccc(-c2csc(C(C#N)C=Nc3ccc4c(c3)OCO4)n2)cc1,6.59
345,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,5.78
346,CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(N)=O,0.14
347,NC(=O)C(=Cc1cccc(F)c1)C(N)=O,0.1
348,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(F)(F)F)NS2(=O)=O,0.49
349,COc1nnc(C(C)C)c(=O)n1N,-0.06
350,CC(C)c1ccccc1N,2.12
351,CCc1ccc(O)cc1,2.58
352,CC(C)(C)OC(N)=O,0.48
353,c1ccc(-c2nccnc2-c2ccccc2)cc1,3.19
354,O=NN(CCCl)C(=O)NC1CCC(NC(=O)N(CCCl)N=O)CC1,2.74
355,N=c1[nH]cccc1C(N)=O,0.88
356,[Na]Oc1ccc(-c2ccccc2)cc1,0.41
357,COc1ccc(C(=O)N2CCCCC2)cc1,2.4
358,Cc1cccc(Oc2ccc([N+](=O)[O-])cc2)c1,4.4
359,Cc1no[n+]([O-])c1S(=O)(=O)c1ccccc1,2.26
360,CN(C)CCOC(=O)c1ccccc1,2.06
361,Cc1ccccc1C(N)=O,0.76
362,CC(=O)OC(CNC(C)C)COc1cccc2ccccc12,4.34
363,NNC(=O)Nc1ccc(Br)cc1,1.0
364,N#CC(C#N)=NNc1ccccc1Cl,3.12
365,CN=c1[nH]c(C)c(C(=O)CCN2CCCC2)s1,1.86
366,Cc1ccccc1NC1=NCCN1,1.28
367,COc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(OC)cc5n5cccc45)CC3)c3cccn3c2c1,4.67
368,COc1cc2ccc(=NC(C)=O)c3c(c2c(OC)c1OC)CCC(N)C(=O)C3,0.3
369,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,1.95
370,OCCn1nc2ccccc2n1,0.92
371,OCC1OC(n2cnc3c2N=CNCC3O)CC1O,-2.09
372,CNC1CC2OC1c1ccccc12,0.91
373,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCN=C(N)N)C(=O)O,-0.03
374,N=c1[nH]c(=O)c2ncn(C3CC(F)C(CO)O3)c2[nH]1,-0.66
