,Unnamed: 0,smiles,logP,logD
210,11449,O=C(Nc1ccc([N+](=O)[O-])cc1)c1cccnc1,1.82,
211,9419,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,7.44,
212,9578,Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,6.04,
213,9794,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(N2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)C1(F)F,7.1,
214,14823,CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4[nH]c(=N)sc4c3)c3c(=N)[nH]cnc32)CC1,,3.09
215,11296,O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CC[N+]([O-])(CCO)CC1,0.05,
216,11185,O=C(CCl)Nc1ccccc1,1.63,
217,1633,CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)O,0.43,
218,7383,COc1ccc(C(c2ccc(OC)cc2)C(Cl)Cl)cc1,4.47,
219,13461,c1ccc(-n2cccc2)cc1,3.08,
220,11446,O=C(Nc1ccc(O)cc1)C(Cl)Cl,1.6,
221,2425,CC1CC(C)CN(N=O)C1,1.53,
222,16753,NC(=O)c1c[nH]c(=N[C@H]2CCCNC2)c2cc(-c3ccc(F)cc3)sc12,,2.01
223,10668,NCCCCc1ccccc1,2.4,
224,6072,CNC(=O)N(C)C(=O)Nc1cc(Cc2ccccc2)ccc1F,3.9,
225,4601,CCOC(=O)C(F)(F)C(F)(F)F,2.12,
226,17495,O=c1oc2ccc(O)cc2cc1-c1ccc(O)cc1,,2.9
227,4521,CCOC(=O)C(=Cc1ccc([N+](=O)[O-])o1)C(=O)OCC,2.5,
228,610,CC(=O)CCC(C)C,1.88,
229,10532,NC(=O)c1cnccn1,-0.6,
230,17185,O=C(O)C[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(Cl)ccc2[nH]1,,1.79
231,13912,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)NCc2ccc[n+]([O-])c2)c1=O)C(=O)C(F)(F)F,,1.48
232,15186,COc1cc(O)cc2occ(-c3ccc(O)cc3)c(=O)c12,,2.0
233,11482,O=C(Nc1ccccc1)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],2.23,
234,3801,CCCCOc1ccc([N+](=O)[O-])cc1,3.5,
235,9041,Cc1cnccn1,0.21,
236,13311,S=C(Nc1ccccc1)c1ccccc1,3.03,
237,11929,O=C(Oc1ccccc1Cl)N1CCCC1,3.13,
238,9224,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,5.9,
239,9853,Fc1cccc(C2CNCCO2)c1,1.42,
240,281,C=C1C(=O)OC2C=C(C)C3(O)C=CC(C)(CC(OC(=O)C(=CC)COC(C)=O)C12)O3,1.19,
241,4130,CCCc1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1,5.77,
242,1561,CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,1.17,
243,2505,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,-0.2,
244,4830,CCOC(=O)c1cnc2n(c1=O)CC(C)CC2,0.71,
245,16097,Cc1ccc(Oc2ccc(N=c3[nH]cnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,,3.4
246,5663,CN(C)CCOC(=O)c1ccc(C#N)cc1,1.43,
247,3828,CCCCSc1nnc(C(C)C)c(=O)n1N,3.21,
248,7621,COc1ccc2cc(C(C)C(=O)OCC(=O)N(CCO)CCO)ccc2c1,1.7,
249,15814,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4cc(S(C)(=O)=O)ccc34)CC2)c1Cl,,2.83
250,3147,CCCCC(=O)CCCC,2.88,
251,15104,COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1Cn1ncc2ccc(NC(=O)CC3CCCC3)cc21,,1.6
252,6857,COCCOC(=O)C1=C(C)N=C2CC(c3cccc(OC)c3)CC(=O)C2C1c1coc2ccc(C)cc2c1=O,5.23,
253,9500,Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1,6.41,
254,6612,COC(=O)c1ccc(-c2ncc([N+](=O)[O-])n2C)cc1,1.63,
255,4,BrC=C(Br)Br,3.2,
256,15630,CS(=O)(=O)n1c2ccccc2c2cc(NC(=O)N3CCOCC3)ccc21,,2.7
257,935,CC(=O)Nc1ccc(OCC(O)CNCC(O)COc2ccccc2)cc1,1.39,
258,9325,Clc1cc(Cl)c(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2)c1,7.01,
259,3813,CCCCOc1cccnn1,1.8,
260,10492,NC(=O)c1cccc(Br)c1,1.65,
261,11574,O=C(O)CCCC1=NS(=O)(=O)c2cc(Cl)ccc2N1,0.83,
262,9769,Cn1nc2ccccc2n1,1.64,
263,3758,CCCCOC(NC(=O)c1ccccc1O)C(Cl)(Cl)Cl,4.45,
264,635,CC(=O)N(CC(=O)Nc1ccccc1)c1ccccc1,2.01,
265,13674,c1cocn1,0.12,
266,9133,Cc1ncnc2c1ncn2C1CCC(CO)O1,-0.12,
267,16965,O=C(N=c1[nH]nc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,,1.92
268,3843,CCCCc1ccc(C(=O)OCCN(C)C)cc1,4.06,
269,10658,NCCCCC(N)C(=O)O,-3.05,
270,2064,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,4.71,
271,14915,CNC(C)C(=O)NC(C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3cccc4ccccc34)[C@H]21)C(C)(C)C,,1.94
272,16555,N#Cc1ccc(Cl)cc1S[C@H](CCN)c1ccccc1,,1.26
273,1839,CC(C)NC(=O)NN,-1.3,
274,16963,O=C(N=c1[nH]ccs1)c1ccccc1,,2.43
275,15160,COc1cc(N2CCN(C(C)=O)CC2)ccc1N=c1nc(-c2cnc3ccccn23)c(Cl)c[nH]1,,3.65
276,10222,N=c1[nH]cnc2c1ncn2C1CC(O)C(CO)O1,-0.55,
277,1772,CC(C)COC(=O)c1cc(O)c(O)c(O)c1,2.46,
278,10142,N=C1NCC(COc2ccccc2)O1,1.27,
279,14294,CCCS(=O)(=O)c1ccc(N=c2nc(-c3cnc(C)n3C(C)C)cc[nH]2)cc1,,3.37
280,12873,O=c1cc[nH]cc1,-1.3,
281,1198,CC(=O)c1ccc(C)cc1,2.1,
282,5082,CCOc1ccc2cc[nH]c2c1,2.53,
283,12519,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.33,
284,14929,CNC(C)C(=O)NC(C(=O)N[C@H]1CCCN(CCc2cccc(OC)c2)C1)C(C)(C)C,,1.47
285,16191,Cc1cccc2c3c([nH]c12)CCN(C(=O)C1CCCCC1C(=O)NC1(C#N)CC1)C3,,2.99
286,12273,O=Cn1c2c(c3ccccc31)CCNC2,0.26,
287,10179,N=c1[nH]c(Cl)nc2c1ncn2C1CC(O)C(CO)O1,0.02,
288,12836,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,1.54,
289,10277,N=c1ccn2c(n1)OC1C(O)C(CCl)OC12,-3.1,
290,4208,CCN(CC)C(=O)OCc1ccccc1,2.93,
291,11203,O=C(CN1CCCCC1)Nc1ccc(Cl)cc1,3.34,
292,8424,Cc1cc(OCCN(C)C)c(C(C)C)cc1O,2.93,
293,10981,Nc1ccc(Cl)cc1N,1.28,
294,13610,c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1,7.11,
295,566,CC(=O)C12OC(C)(c3ccc(F)cc3)OC1CC1C3CC=C4CC(=O)CCC4(C)C3CCC12C,5.7,
296,7115,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,2.01,
297,2595,CC=NP(=O)(N=CC)NC(=O)c1cccc(OC)c1,0.86,
298,14448,CCN1CCC[C@H](CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,,1.86
299,5285,CCc1ccc2c(c1)N=C(C)NS2(=O)=O,1.25,
300,11553,O=C(O)CC(O)(CC(=O)O)C(=O)O,-1.72,
301,1102,CC(=O)OCN1C(=O)c2ccccc2C1=O,1.15,
302,9516,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,6.72,
