,smiles,pH,logD
72,CN(C)c1nc(Cc2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)cc2)nc(N(C)C)c1CC(=O)O,7.4,1.46
73,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,7.4,1.55
74,COc1cc(OC2CCNCC2)ccc1N=c1nc(-c2cnc3ccccn23)c(Cl)c[nH]1,7.4,1.8
75,CNC(C)C(=O)NC(C(=O)N[C@H]1CCCN(CCc2ccccc2)C1)C1CCCCC1,7.4,1.65
76,CN1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,7.4,0.92
77,CCOc1ccc(-c2cnc3n2CCCCC3)cc1,7.4,3.01
78,O=C(O)Cn1ccc(C(=O)c2ccc(C(F)(F)F)cc2)c1,7.4,-0.1275
79,C[C@H](OC[C@H](c1ccccc1)N1CCN(CCOCC(=O)O)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.4,2.64
80,Cc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.4,1.71
81,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,7.4,0.19
82,CCN1CCOc2cc(COc3ccccc3)cnc21,7.4,3.7
83,O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,7.4,1.26
84,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCCOc3ccccc3)c2s1,7.4,1.13
85,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,7.4,2.84
86,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,7.4,0.47
87,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,7.4,0.48
88,CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCO,7.4,2.71
89,Cc1cc2c(C)cc(=O)oc2c2c1NCCC2,7.4,2.9
90,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccc(S(C)(=O)=O)cc2F)cn1,7.4,3.7
91,COc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,7.4,2.3
92,Cc1nn(C2CCN(C)CC2)cc1-c1c[nH]c(=N)c(-c2nc3ccccc3o2)c1,7.4,3.4
93,O=C1Nc2ccc(S(=O)(=O)N3CCC[C@H]3COc3ccccc3)cc2C1=O,7.4,2.7
94,CN1CCOc2cc(OC(=O)c3ccccc3)cnc21,7.4,3.3
95,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccc(NC(C)=O)cc2)CC1,7.4,2.09
96,COC(=O)C=CC(=O)Nc1ccc2c(O)c(O)c3ccccc3c2c1,7.4,2.72
97,N=C(N)N1CCC(OCCC2CCCCN2C(=O)C(Cc2ccccc2)NCC(=O)O)CC1,7.4,-1.1
98,OC1(c2ccc(F)cc2)CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1,7.4,3.5
99,COc1ccc(Cl)cc1NC(=O)N=c1cncc[nH]1,7.4,3.63
100,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCSc3ccccc3)c2s1,7.4,1.84
101,O=C(O)Cn1ccc(C(=O)c2ccc(-c3ccccc3)cc2)c1,7.4,-0.565
102,Cc1ccc2[nH]c(=O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,7.4,2.6
103,COc1cc2c(N=c3ncc(NC(=O)c4ccccc4)c[nH]3)ncnc2cc1OCCCN1CCOCC1,7.4,2.32
104,C[C@H](CO)N=c1[nH]c(SCc2cccc(F)c2F)nc2[nH]c(=NC3CC3)sc12,7.4,4.37
105,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,7.4,2.96
106,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1c[nH]c(=O)c(Cl)c1,7.4,3.12
107,CCCCCCc1ccc(N=C(N)Nc2ccc(CCCCCC)cc2)cc1,7.4,6.07
108,Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1N=c1cc[nH]c(N(C)C2CCN(C)CC2)n1,7.4,1.8
109,O=C(NCCc1ccccc1Cl)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,7.4,1.29
110,Cc1ccc(CC(C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,7.4,3.01
111,CCOc1ccc(-n2c(C(C)N(Cc3cccnc3)C(=O)Cc3ccc(C(F)(F)F)cc3)nc3ccccc3c2=O)cc1,7.4,4.25
112,CCOCCCn1ccc(=O)c(O)c1CC,7.4,0.72
113,OCCN1CC=CC[C@H](c2ccc(Cl)c(Cl)c2)C1,7.4,2.37
114,CCOC(=O)N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,7.4,1.5
115,Cc1ccccc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,7.4,2.84
116,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,7.4,3.72
117,O=C(O)c1cn(-c2ccc(F)cc2F)c2cc(N3CCNCC3)c(F)cc2c1=O,7.4,-0.48
118,OCCOCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,7.4,3.13
119,c1cc2c(cc1-c1cnc3n1CCC3)OCCO2,7.4,2.33
120,C[C@@H]1c2c([nH]c3ccc(C(F)(F)F)cc23)C[C@@H]2CCN(CCN3CCOCC3)C[C@H]21,7.4,2.87
121,O=C(O)COc1ccc(Cl)cc1Cl,7.4,-0.82
122,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,7.4,1.43
123,O=C1CCCN1CCCN=c1cc(-c2ccccc2)[nH]c2cc(-c3ccc(F)cc3)nn12,7.4,4.77
124,CN(C)CCc1c[nH]c2ccc(Cn3cnnn3)cc12,7.4,-0.64
125,CS(=O)(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,7.4,-0.51
126,CN(C)CC(O)COc1ccc(N=c2cc(Nc3ccc(F)cc3F)[nH]cn2)cc1,7.4,1.48
127,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,7.4,3.6
128,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,7.4,1.78
129,C[C@@H]1CN(c2ccccc2)CCN1C(=O)C1CCCCC1C(=O)NC1(C#N)CC1,7.4,2.35
130,Cc1ccc(N=c2nc(N(C)c3ccc4c(C)n(C)nc4c3)cc[nH]2)cc1S(N)(=O)=O,7.4,3.3
131,COc1cc(O)ccc1C=C1CCCN=C1c1cccnc1,7.4,2.2
132,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)NCc2ccncc2)c1=O)C(=O)C(F)(F)F,7.4,2.16
133,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,7.4,3.0
134,C#CCN(C)C(C)Cc1ccccc1,7.4,2.16
135,CCC(CC)n1[nH]c(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1=NS(=O)(=O)c1ccc(C)cc1,7.4,1.88
136,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,7.4,-1.3199999999999998
137,NCCC(=O)NC(Cc1ccc(Cl)cc1Cl)C(=O)N1CCN(c2ccccc2CNCCc2cccs2)CC1,7.4,1.1
138,O=C(CN1CCOCC1)Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1-c1ccccc1,7.4,3.4
139,COc1cc(N2CC3CN(CCO)CC(C2)O3)ccc1N=c1nc(-c2cnc3ccccn23)c(Cl)c[nH]1,7.4,2.5
140,C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,7.4,3.07
141,CCn1ccc(=O)c(O)c1C(C)O,7.4,-0.56
142,COc1ccnc(CCc2nc3cccnc3[nH]2)c1,7.4,1.69
143,C[C@@H]1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,7.4,0.65
144,CN1C(=O)C(NC(=O)Nc2cccc(N=c3nn[nH][nH]3)c2)N=C(c2ccccc2)c2ccccc21,7.4,0.89
145,Cc1ccc2c(c1)c(-c1ccnc3c(C)cccc13)c(C)n2CC(=O)O,7.4,1.295
146,CN(c1ncccc1CN=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F)S(C)(=O)=O,7.4,2.63
147,CN(C)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O,7.4,0.21
148,O=C(NCc1ccc(F)cc1)/C(=C/c1ccccc1)C(O)=NO,7.4,1.1
149,O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(C[C@@H]2CCCN(C3CC3)C2)CC1,7.4,3.57
150,ON=C(NC1CCCCC1)c1c(F)cccc1F,7.4,3.67
151,CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1,7.4,1.33
152,O=C(COCc1ccccc1)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,7.4,3.21
153,CCC[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,7.4,2.27
154,C[N+]1(C)C2CCC1CC(OC(=O)C1c3ccccc3Oc3ccccc31)C2.[Br-],7.4,-1.46
155,CC(C)N=c1[nH]c(=NCc2ccccc2)c2sccc2[nH]1,7.4,3.9
156,O=C(NCc1ccncc1)c1ccc(Oc2ccc(C#C[C@@]3(O)CN4CCC3CC4)cc2)cc1,7.4,2.31
157,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)[nH]sc1=NC(=O)NCCCCN1CCCC1,7.4,2.5
158,CC(=O)Nc1ccc(-c2cc[nH]c(=Nc3ccc(N4CCOCC4)cc3)n2)cc1,7.4,2.91
159,O=C(N=c1nn[nH][nH]1)c1cc(Oc2ccccc2)c2ccccn2c1=O,7.4,0.67
160,CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1,7.4,-1.35
161,O=C(O)C[C@H]1CC[C@H](c2ccc(NC(=O)c3n[nH]c(=Nc4ccccc4F)o3)cc2)CC1,7.4,2.48
162,c1ccc2c(c1)OCC(CCc1ncc[nH]1)O2,7.4,1.99
163,CS(=O)(=O)c1ccc2[nH]c3c(c2c1)CN(C(=O)C1CCCCC1C(=O)NC1(C#N)CC1)CC3,7.4,1.5
164,C[C@]12C[C@H](O)[C@H]3[C@@H](CC=C4CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,7.4,1.6
165,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7.4,3.3
166,Cc1cc(C(=O)Cn2cc(C(F)(F)F)ccc2=O)c(C)n1Cc1ccccc1,7.4,3.46
167,CNCCCN1c2ccccc2CCc2ccccc21,6.5,1.1
168,COCCOc1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,7.4,3.1
169,CC(=O)NC(C(=O)NC(C(N)=O)C(C)C)C(C)O,7.0,-1.25
170,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,7.4,2.72
171,CCCCCc1ccc(-c2n[nH]c(=N)s2)cc1,7.4,4.13
172,CCC(C)C(NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]([NH3+])[C@@H](C)CC)C(=O)N[C@H](C(=O)[O-])C(C)C,7.0,-1.09
173,O=c1[nH]n(Cc2ccncc2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,7.4,-0.16
174,CC(=O)Nc1ccc2ccn(-c3cc(=NCCCN4CCCC4)n4[nH]cc(C#N)c4n3)c2c1,7.4,1.87
175,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,7.4,3.5
176,O=C(Cc1c(C(=O)O)[nH]c2ccccc12)Nc1cccc(C(F)(F)F)c1,7.4,1.33
177,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3cc4ccccc4o3)c2s1,7.4,2.86
178,CC(C)CC(NC(=O)C[NH3+])C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)[O-],7.0,-0.18
179,CCc1cccc(NC(=NO)c2ccc(OC)cc2)c1,7.4,3.76
180,O=C(O)c1ccc(-n2ncc(C(=O)NC3C4CC5CC(C4)CC3C5)c2C2CCCC2)cc1,7.4,1.72
181,CSCCC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,6.5,-1.15
182,COc1cc2c(=Nc3ccc(NC(=O)c4ccccc4)cc3)[nH]cnc2cc1OCCCN1CCOCC1,7.4,3.5
183,CCC(C)C(NC(=O)C([NH3+])CC(C)C)C(=O)NC(C(=O)[O-])C(C)O,7.0,-2.14
184,C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,7.4,3.6
185,CS(=O)(=O)c1cccc(N=c2[nH]ccc(=Nc3cccc4c3OCO4)[nH]2)c1,7.4,2.83
186,CCOc1ccccc1-c1ccc(-c2[nH]c3ccc(F)cc3c(=NC(C)C(=O)O)c2C#N)cc1,7.4,2.5
187,CN1CCN(Cc2ccc(C(=O)c3csc(S(N)(=O)=O)c3)cc2)CC1,7.4,2.3
188,O=c1cc(-c2ccc(O)cc2)[nH]c2ccccc12,7.4,2.34
189,O=c1[nH]cnc2[nH]ncc12,7.4,-0.32
190,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,7.4,3.22
191,Nc1ccccc1NC(=O)c1ccc(C2CCN(Cc3ccc(C(=O)NC4CC4)cc3)CC2)cc1,7.4,2.31
192,ON=C(O)Cc1ccc(Oc2ccccc2)cc1,7.4,2.03
193,CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(C(=O)O)nc21,7.4,1.1
194,N=c1[nH]cnc2[nH]ccc12,7.4,1.78
195,Cc1cc(=NC(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)[nH]1,7.4,4.15
196,CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,7.2,-0.74
197,Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21,7.4,0.3
198,C[C@@](O)(C(=O)Nc1ccc(S(C)(=O)=O)cc1Cl)C(F)(F)F,7.4,2.08
199,CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O,7.4,0.11
200,CSc1nc(-c2ccccc2)[nH]c(=N)n1,7.4,2.98
201,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,7.4,2.1933333333333334
202,COc1cccc(NC(=O)c2cccc(Cc3c(C)nn(CCO)c3-c3ccccc3)c2)c1,7.4,4.29
203,CCC(NC(=O)C([NH3+])CC(C)C)C(=O)NC(CC(C)C)C(=O)[O-],7.0,-1.57
204,CN=c1[nH]cnc2c(CNc3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3C)cccc12,7.4,4.0
205,COc1ccc(-c2cc(=NC(=O)Cc3ccc4ccccc4c3)[nH][nH]2)cc1OC,7.4,3.1
206,C[C@H](N=C1NC(=O)[C@](C)(C(F)(F)F)S1)c1ccccc1F,7.4,3.1
207,Cc1ncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O,7.4,1.0
208,COC[C@H](C)Oc1cc(Oc2ccc(Cl)cc2)cc(C(=O)N=c2ccc(C(=O)O)c[nH]2)c1,7.4,1.69
209,NC(=O)c1ccc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c(F)c1,7.4,2.1
210,CCCC(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,7.4,2.81
211,NC(=O)CCC(N)C(=O)O,7.4,-1.0
212,CCN(CC)CCN=c1[nH]cnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3,7.4,3.3
213,Oc1ccc(-c2nc3ccc(O)cc3s2)cc1,7.4,3.65
214,O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCc2ccccc2C1,7.4,3.7
215,CC1CN(C(=O)c2n[nH]c3c(-c4ncccn4)cccc3c2=N)C1,7.4,1.21
216,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccc(NC(C)=O)cc2)c2cccc(F)c2)CC1,7.4,2.41
217,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,7.4,-0.16999999999999998
218,CCC(CC)NC(=O)c1c(C)[nH]n(C(C)C)c1=NS(=O)(=O)c1ccc(C)cc1,7.4,0.92
219,CCOC(=O)Cc1csc(=NS(=O)(=O)c2ccc(Cl)cc2)[nH]1,7.4,1.32
220,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(=N)N1,7.4,0.8
221,COc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O,7.4,1.16
222,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,7.4,2.85
223,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,7.4,-0.3
224,O=c1[nH]c(O)c(Cc2ccc3ccccc3c2)s1,7.4,2.41
225,N=C1NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)(F)F)c2)c2cccc(F)c21,7.4,3.4
226,NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,7.4,-1.98
227,COC[C@@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,7.4,1.44
228,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,7.4,2.44
229,CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2ccc(-c3ccc(Cl)s3)s2)C1=O,7.4,2.03
230,Cc1ncccc1Oc1ncnc(OC2C3COCC2CN(C(=O)OC(C)C)C3)c1C,7.4,3.1
231,CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)O)cccc12,7.4,-1.45
232,CCC(CC)CNC(=O)c1ccc2c(c1)c(Cc1ccc(C(=O)NS(=O)(=O)c3ccccc3C)cc1OC)cn2C,7.4,2.7
233,Cc1cc(=O)oc2cc(O[C@@H]3OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12,7.4,-1.32
