,Unnamed: 0,smiles,logP,logD
21,8198,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,1.94,
22,7928,CS(=O)(=O)CCOCn1ccnc1C=NO,-0.84,
23,14439,CCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,,1.92
24,6384,COC(=O)C(C#N)=NNc1cc(Cl)c(Cl)cc1Cl,5.15,
25,16584,N#Cc1cccc(S(=O)(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c1,,3.42
26,14969,COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12,,3.77
27,10506,NC(=O)c1ccccc1Cl,0.64,
28,7515,COc1ccc(O)c2ncccc12,2.06,
29,11970,O=C(c1ccco1)C(O)c1ccco1,0.54,
30,15442,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,,1.99
31,8171,Cc1[nH]cnc1CSCCN=c1cc[nH]c(=O)[nH]1,-0.4,
32,4137,CCCc1cccc(OC(=O)NC)c1,2.64,
33,9050,Cc1csc(C#Cc2ccccc2)n1,3.6,
34,16362,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,,1.51
35,14931,CNC(C)C(=O)NC(C(=O)N[C@H]1CCCN(CCc2ccccc2)C1)C1CCCCC1,,1.65
36,8533,Cc1ccc(C)c(C(=O)NS(=O)(=O)c2ccc(N)cc2)c1,2.19,
37,17570,c1ccc(C2Cc3ccccc3CN2)cc1,,1.9
38,16469,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccncc2)cc1,,0.3
39,8821,Cc1cccc(C)c1NC(=O)c1cccc(CN2CCOCC2)c1,2.14,
40,6464,COC(=O)C=Cc1ccc([N+](=O)[O-])o1,1.65,
41,14,Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5,
42,75,C#CCC(N)C(=O)O,-1.8,
43,3394,CCCCCCCCCCCCO,5.13,
44,16309,Cc1ncc(-c2cc[nH]c(=Nc3ccc(N4CCOCC4)cc3)n2)n1C(C)C,,2.88
45,7759,COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)=C(OC1CC(N2CCOCC2C#N)C(O)C(C)O1)CC(O)(C(O)CO)C=4,1.56,
46,2556,CC1c2nc3ccccc3c(=O)n2CN1CCO,0.46,
47,2057,CC(CCO)C(F)(F)F,1.37,
48,6148,CNC(=O)ON=Cc1ccccc1,1.49,
49,12033,O=C1C=NC(c2ccccc2)c2cc(C(F)(F)F)ccc2N1,3.1,
50,5182,CCSCCOC(=O)C1=C(C)N=C2C[C@H](c3cccs3)CC(=O)C2[C@H]1c1ccc2c(c1)OCO2,5.0,
51,11352,O=C(NC(Sc1ncccn1)C(=O)c1ccccc1)c1ccccc1,3.62,
52,3997,CCCOC(=O)C(C(=O)OCCC)=C1SCCS1,3.35,
53,1859,CC(C)NCC(O)COc1cccc2c1N(C(=O)c1cccnc1)CCC2,1.63,
54,16054,Cc1ccc(F)c(N=c2cc[nH]c(=Nc3ccc(OCC(O)CN(C)C)cc3)[nH]2)c1,,2.1
55,15569,COc1ncccc1-c1cccc2c(=N)c3c(O)n(C4CCC4)cc3[nH]c12,,3.26
56,14920,CNC(C)C(=O)NC(C(=O)N[C@H]1CCCN(CCc2ccc(Br)cc2)C1)C(C)(C)C,,2.92
57,10824,NS(=O)(=O)c1ccc(Br)cc1,1.36,
58,2445,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)NCc1ccc([N+](=O)[O-])cc1,3.44,
59,9661,Cn1c(=O)[nH]c(=O)c2[nH]c(=O)[nH]c21,-1.08,
60,5312,CCc1cccc(OC(=O)N(C)C)c1,2.47,
61,7780,COc1ccccc1C(=O)NCCN,0.0,
62,3699,CCCCNC(=O)c1ccc2cc(O)c(O)cc2c1,2.72,
63,3926,CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],4.63,
64,15276,COc1cc2c(=Nc3c(Cl)ccc4c3OCO4)[nH]cnc2cc1OCC1CCN(C)CC1,,1.83
65,16795,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,,0.97
66,16997,O=C(NC1Cc2ccccc2N(CCCO)C1=O)c1cc2cc(Cl)sc2[nH]1,,3.49
67,968,CC(=O)Nc1cccc(I)c1,2.64,
68,16389,Clc1ccccc1CNC[C@H]1CC[C@H](CNCc2ccccc2Cl)CC1,,2.74
69,8600,Cc1ccc(Cl)c(O)c1,2.9,
70,8428,Cc1cc(S(=O)(=O)O[Na])c2cc(C(C)C)cccc1-2,-0.88,
71,17521,OCC[C@]1(c2ccc(Cl)c(Cl)c2)CCCNC1,,0.61
72,13991,CC(C)N(C(=O)C(c1cccnc1)C(CNC(=O)NCc1ccccc1F)c1ccccc1)C(C)C,,4.2
73,5800,CN(C)c1ncnc2sccc12,1.82,
74,10422,NC(=O)NN=CCCc1ccccc1,2.32,
75,12517,O=[N+]([O-])c1cc([N+](=O)[O-])c(N=c2[nH]cc(Cl)cc2Cl)c(C(F)(F)F)c1,3.47,
76,9965,N#CCc1cccc(Oc2ccccc2)c1,3.03,
77,11930,O=C(S)Cc1ccccc1,1.91,
78,11680,O=C(O)COc1ccccc1,1.34,
79,8668,Cc1ccc(OCC(=O)O)cc1,1.86,
80,16985,O=C(NC(Cc1ccccc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1,,3.6
81,8242,Cc1c(O)c(=O)ccn1CCCCO,-0.74,
82,14611,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,,1.54
83,4722,CCOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,1.9,
84,10238,N=c1[nH]nc(S(N)(=O)=O)s1,-0.9,
85,8888,Cc1cccc2c1ccc1ccccc12,5.08,
86,16875,Nc1cccc2c1C(=O)N(Cc1cccc(Cl)c1)C2=O,,3.18
87,4533,CCOC(=O)C(=Cc1cccc(OCC)c1)C(C)=O,2.71,
88,6319,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,3.42,
89,15897,Cc1cc(=O)[nH]c2ccccc12,,1.9
90,17104,O=C(Nc1ccc(N2CCOCC2)nc1)c1n[nH]c(=Nc2ccc(F)cc2)o1,,3.0
91,7921,COn1c(=O)[nH]c(C)c(Br)c1=O,-0.3,
92,16922,O=C(CO)N1CCC[C@@H]1COc1cccc2[nH]cnc(=Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,,3.71
93,15518,COc1cccc2c1c(=NS(=O)(=O)c1ccc(Cl)s1)[nH]n2Cc1cccc(CNC(=O)C2COCCN2)c1,,1.61
94,9185,Cc1occc(=O)c1O,0.09,
95,5234,CCc1cc(NC(C)=O)cc(CC)c1O,1.87,
96,8552,Cc1ccc(C)n1N(C)c1ccc(N2CCOCC2)nn1,2.21,
97,8258,Cc1c([N+](=O)[O-])no[n+]1[O-],0.78,
98,6913,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.2,
99,8323,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1,1.5,
100,3202,CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCN=c1[nH]oc(=N)[nH]1)C(C)C,4.11,
101,9986,N#CN=[N+]([O-])c1cccc(Cl)c1,2.4,
102,3794,CCCCOc1ccc(CC(O)=NO)cc1,2.08,
103,5486,CN(C)C(=O)Nc1ccc(Cl)cc1,1.94,
104,11387,O=C(NCc1ccc(O)cc1)c1ccccc1,1.87,
105,10875,NS(=O)(=O)c1cccc2cccnc12,0.42,
106,12272,O=Cc1no[n+]([O-])c1-c1ccccc1,2.61,
107,1180,CC(=O)c1c(C)n(C)c2ccccc12,2.03,
108,10551,NC(=S)c1ccccc1,1.49,
109,3188,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,5.73,
110,7825,COc1ccccc1NC(=O)C(Cl)Cl,2.41,
111,16715,N=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)[nH]1,,-1.5
112,9095,Cc1nc2cc([N+](=O)[O-])ccc2[nH]1,1.94,
113,6130,CNC(=O)ON=C1COCS1,0.06,
114,16602,N=C(N)NC(=O)c1nc(Cl)c(=NCc2ccncc2)[nH]c1N,,-0.51
115,1209,CC(=O)c1ccc(NCc2cnc3[nH]c(=N)[nH]c(=N)c3c2C)cc1,1.45,
116,294,C=C1CCC2C(C1)c1c(OC)cc(CCCCC)cc1OC2(C)C,7.62,
117,6185,CNC(=O)Oc1ccc(SC)cc1,1.92,
118,17223,O=C(O)c1ccccc1C(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,1.73
119,16604,N=C(N)Nc1ccc(C(=O)Oc2ccc(Cl)cc2)cc1,,0.7
120,1798,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,4.49,
121,14306,CCCSc1nc(=N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2[nH]1,,3.97
122,4433,CCNC(=O)CNC(=O)c1ccccc1,0.58,
123,5570,CN(C)C(=S)Nc1ccccc1,1.04,
124,4065,CCCOc1ccccc1,3.18,
125,11159,O=C(CC(=O)C(F)(F)F)c1cccs1,1.46,
126,976,CC(=O)Nc1cccc(OCC(O)CNC(C)C)c1,0.74,
127,15132,COc1cc(F)ccc1-c1cncc(CNC2CCC2)n1,,2.23
128,13399,[O-][n+]1nc2ccccc2c2ccccc21,2.24,
129,2063,CC(CN(C)C)CN1c2ccccc2S(=O)(=O)c2ccccc21,2.51,
130,8012,CSC(C)=NOC(=O)N(C)SN(C)C(=O)c1ccccc1,2.2,
131,3865,CCCCc1ccccc1,4.38,
132,7716,COc1cccc(OC(=O)N(C)C)c1,1.6,
133,16963,O=C(N=c1[nH]ccs1)c1ccccc1,,2.43
134,8983,Cc1ccncc1,1.22,
135,11109,Nc1ccccc1I,2.32,
136,1617,CC(C)C(N)C(=O)NC(CCC(N)=O)C(=O)O,-1.82,
137,1832,CC(C)N=c1nc(SC(F)F)[nH]c(=NC(C)C)[nH]1,4.25,
138,4468,CCNC(=S)NCC,0.57,
139,12156,O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1,1.59,
140,10368,NC(=O)CCCc1ccccn1,-0.01,
141,5037,CCOc1ccc(C2(C(=O)OC)CC2(Cl)Cl)cc1,4.1,
142,3392,CCCCCCCCCCCCN(C)N=Nc1ccc(C(N)=O)cc1,6.58,
143,16078,Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1,,2.81
144,12883,O=c1cccc[nH]1,-0.58,
145,11754,O=C(O)Cn1cccc1,0.7,
146,991,CC(=O)Nc1ccccc1C(F)(F)F,1.17,
147,930,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,2.15,
148,2724,CCC(C)C(=O)Nc1ccccc1,2.56,
149,1302,CC(C(=O)O)c1ccc(-c2nc(C(F)(F)F)cs2)cc1,3.78,
150,4593,CCOC(=O)C(Cc1cccc([N+](=O)[O-])c1)=NC=O,2.05,
151,14621,CCc1ccc(CCOc2ccc(Cc3sc(=O)[nH]c3O)cc2)nc1,,2.8
152,16999,O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)ccc2[nH]1,,3.4
153,6157,CNC(=O)Oc1cc(C)cc(C(C)C)c1,3.1,
154,449,C=CCc1ccccc1,3.23,
155,3716,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,3.51,2.11
156,5151,CCS(=O)(=O)c1no[n+]([O-])c1C,0.65,
157,14797,CN1CCN(C(=O)c2cc3cc(Br)ccc3[nH]2)CC1,,2.79
158,14775,CN1CC=C(c2cccc(O)c2)CC1,,0.53
159,4210,CCN(CC)C(=O)SCc1ccccc1Cl,3.43,
160,5503,CN(C)C(=O)Nc1cccc(F)c1,1.37,
161,14909,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)c[nH]c1=N,,2.8
162,4651,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.36,
163,16591,N#Cc1nc(=NC2CC3CCC2C3)c(N)c(N2CCOCC2)[nH]1,,3.53
164,15272,COc1cc2[nH]nc(C(N)=O)c(=Nc3ccc(C)cc3F)c2cc1N1CCN(C)CC1,,2.36
165,2661,CCC(=O)OCCOc1ccc(C=O)cc1OC,1.33,
166,15931,Cc1cc(CN2Cc3cccnc3CC2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)O,,1.15
167,3522,CCCCCCOC(N)=O,1.85,
168,3856,CCCCc1ccc(NC(C)=O)cc1,3.3,
169,6719,COC(F)(F)C(Cl)Cl,2.21,
170,1502,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,6.37,
171,9090,Cc1nc([N+](=O)[O-])c[nH]1,0.15,
172,9937,N#CCCCC#N,-0.72,
173,1678,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)O,-1.0,
174,1343,CC(C)(C)C(=O)NN1CC=CCC1,1.03,
175,850,CC(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,-2.27,
176,2463,CC1CCC(O)CC1,1.79,
177,8710,Cc1ccc([C@@H](O)P(=O)(OCC(C)C)OCC(C)C)cc1,4.44,
178,5781,CN(C)c1cncc(C#N)n1,1.12,
179,14946,CNC1CCN(c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cn2)C1,,2.35
180,3080,CCCC(=O)Oc1c(Br)cc(C#N)cc1Br,3.94,
181,11724,O=C(O)Cc1ccc2ccccc2c1,2.81,
182,15707,C[C@H](CO)N=c1[nH]c(SCc2cccc(F)c2F)nc2[nH]c(=NS(C)(=O)=O)sc12,,0.92
183,5030,CCOc1ccc(-n2c(SCC(=O)NC3CC3)nc3sc4c(c3c2=O)CCC4)cc1,4.64,
184,9018,Cc1cnc(C)c(C)n1,0.95,
185,4813,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)N=c1nc(Cl)cc(OC)[nH]1,2.5,
186,1068,CC(=O)OCC1OC(NC(=O)N(CCCl)N=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,1.04,
187,3192,CCCCC(CCCC)C(=O)O,3.2,
188,17467,O=c1cc(-c2ccccc2)[nH]c2ccccc12,,2.54
189,11162,O=C(CC=Nc1cccc(C(F)(F)F)c1)c1ccc(Br)cc1,5.65,
190,10779,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,3.92,-0.94
191,7496,COc1ccc(NC(=O)N=C(N)N)cc1,0.56,
192,12960,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,2.29,
193,11334,O=C(NC(=O)c1ccccc1O)c1ccccc1,1.38,
194,13186,Oc1c(F)c(F)c(F)c(F)c1F,3.23,
195,1735,CC(C)CCC(=O)c1ccoc1,2.76,
196,15084,COc1cc(-c2ccncc2)cc2c[nH]c(=Nc3ccc([C@@H](C)NC(C)=O)cc3)nc12,,2.73
197,15420,COc1ccc(NC(=O)c2cc[nH]c(=N)n2)cc1,,1.72
198,1651,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,1.56,
199,7030,COc1c(N(C)C)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1N(C)C,2.05,
200,9907,N#CC(C#N)=NNc1cccc(O)c1,2.28,
201,13946,CC(C)CN=c1[nH]c(C#N)nc(N2CCNCC2)c1N,,0.7
202,1559,CC(C)=CCC1(C(C)(C)C)C(=O)NC(=O)NC1=O,2.56,
203,7600,COc1ccc2c(c1)N=C(SCCC(=O)O)NS2(=O)=O,0.96,
204,3209,CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCCNC(C)=O)C(C)C,4.3,
205,7683,COc1cccc(CNC(=O)C2(O)C(C)CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC32C)c1,3.27,
206,4928,CCOP(=O)(OCC)Oc1ccc(SC)c(Cl)c1,2.94,
207,17286,O=C1CCOc2nc(C#CC3CCCC3)ccc21,,3.0
208,7684,COc1cccc(COC(=O)N(C)C)c1,2.09,
209,9674,Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O,-0.52,
210,1075,CC(=O)OCC=CC#CC#Cc1ccccc1,3.88,
211,1086,CC(=O)OCCN1C(=O)C(OC(C)=O)N=C(c2ccccc2)c2cc(Cl)ccc21,2.74,
212,1638,CC(C)C(NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)O,-1.96,
213,14635,CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,,3.6
214,11786,O=C(O)c1cc([N+](=O)[O-])ccc1Cl,2.03,
215,3897,CCCN(CC)CCC,2.68,
216,7977,CS(=O)CCn1ccnc1[N+](=O)[O-],-1.22,
217,14141,CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,,2.63
218,10495,NC(=O)c1cccc(F)c1,0.91,
219,617,CC(=O)COc1ccccc1,1.04,
220,4562,CCOC(=O)C(C(=O)OCC)=C1SCCS1,2.45,
221,13183,Oc1c(Cl)cc(Cl)cc1Cl,3.69,
222,2863,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,2.11,
223,1520,CC(C)(C)c1ccccc1O,3.31,
224,6011,CN=CNc1ccc(C)cc1C,2.92,
225,10576,NC(CS)C(=O)O,-2.49,
226,17201,O=C(O)c1cc2cc(OCc3ccccc3)ccc2[nH]1,,0.4
227,9580,Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,5.81,
228,5996,CN=C(NC#N)NCCSCc1[nH]cnc1C,0.4,
229,14410,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1,,0.77
230,4675,CCOC(=O)CCn1nc2ccccc2n1,2.12,
231,11606,O=C(O)CCN1C(=O)C=CC1=O,0.04,
232,4970,CCOP(=S)(OCC)Oc1ccccc1,3.46,
233,2078,CC(Cc1ccccc1)OCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,1.81,
234,8515,Cc1ccc(C(=O)O)cc1,2.27,
235,3946,CCCN=C(N)N=C(N)Nc1ccc(Cl)cc1,2.63,
236,10258,N=c1cc[nH]cn1,-0.25,
237,6497,COC(=O)CS(=O)(=O)c1ccc(Cl)cc1,1.31,
238,12430,O=[N+]([O-])/C=C/c1cccc([N+](=O)[O-])c1,1.82,
239,15778,Cc1[nH]c(=NC(=N)N)nc2ccccc12,,-0.49
240,15269,COc1cc2[nH]cnc(=Nc3ccccc3)c2cc1OC,,3.04
241,16280,Cc1ncc(-c2[nH]c(=Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F)n1C(C)C,,3.14
242,2500,CC1CN(N=O)C(C)CN1N=O,0.15,
243,11602,O=C(O)CCCc1ccccc1,2.42,
244,9182,Cc1nsnc1C,1.28,
245,11854,O=C(O)c1ccccc1Nc1ccccc1,4.36,
246,15088,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCCN1CCCC1,,2.74
247,3855,CCCCc1ccc(NC(C)=O)c([N+](=O)[O-])c1,3.1,
248,14389,CCN(C(=O)Nc1ccccc1)c1ccccc1,,3.1
249,4485,CCNCc1cccnc1,0.76,
250,13468,c1ccc(C23CCN(CC2)CC3)cc1,2.54,
251,13197,Oc1cc(Cl)c(Cl)c(Cl)c1,4.01,
252,14902,CNC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1,,1.45
253,9380,Clc1cc(Cl)nc(Cl)c1,2.68,
254,7877,COc1cnc(N(C)C)cn1,1.65,
255,15936,Cc1cc(CN=c2nc(N=c3cc(CCc4ccccc4)[nH][nH]3)cc[nH]2)on1,,3.56
256,16698,N=c1c(C(=O)NC2CC2)n[nH]c2c(-c3ncccn3)cccc12,,1.5
257,2406,CC1=NS(=O)(=O)c2cccc(C)c2N1,0.52,
258,4713,CCOC(=O)Cn1c(O)c(OC(=O)c2ccccc2)c(OC(=O)c2ccccc2)c1O,5.0,
259,11446,O=C(Nc1ccc(O)cc1)C(Cl)Cl,1.6,
260,4806,CCOC(=O)c1cccc(O)c1,2.47,
261,7717,COc1cccc(OC(=O)c2ccc(N)cc2O)c1,3.25,
262,1224,CC(=O)c1ccc2cc(C(C)C(=O)OCC(=O)N(C)C)ccc2c1,2.05,
263,9311,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,7.25,
264,496,C=c1[nH]cc(CO)c(=CNNC(=O)c2cccc(F)c2)c1=O,2.42,
265,14027,CC(C)Oc1cc(OCCc2ccsc2)cc(C(=O)N=c2ccc(C(=O)O)c[nH]2)c1,,1.74
266,14245,CCCCCOC(=O)N=c1[nH]c(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,,0.67
267,3598,CCCCCOc1cc(N)ccc1C(=O)O,2.38,
268,12791,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3nccs3)c2s1,2.35,
269,12572,O=[N+]([O-])c1ccc(O)cc1,1.91,1.5
270,7450,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1C(C)C,2.79,
271,9589,Clc1cccc(Br)c1,3.7,
272,13646,c1ccn2nnnc2c1,-0.09,
273,2143,CC(O)c1ccccc1,1.42,
274,14414,CCN(CC)CC(=O)N=c1c(C#N)c[nH]n1-c1ccccc1,,0.4
275,12825,O=c1[nH]cnc2ncn(C3OC(CO)C(O)C3O)c12,-2.1,
276,6257,CNC(=S)NCc1ccccc1,1.35,
277,5870,CN(N=O)C(=O)N(C)c1ccccc1,1.58,
278,17032,O=C(NCCN1CCCC1)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,,2.39
279,12505,O=[N+]([O-])c1cc(Cl)c(N=c2[nH]cc([N+](=O)[O-])cc2Cl)c([N+](=O)[O-])c1,2.6,
280,8349,Cc1cc(C)c2ccccc2c1,4.42,
281,2690,CCC(C(=O)OCc1ccc(C)cc1)C(COC(=O)C(C)(C)C)Cc1cncn1C,4.55,
282,11233,O=C(COC(=O)c1cccc(S(=O)(=O)N2CCc3ccccc32)c1)Nc1ccc(F)c(F)c1F,5.31,
283,2246,CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O,0.59,
284,5763,CN(C)c1ccc2c(c1O)C(=O)C1C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3CC1C2,-0.07,
285,17091,O=C(Nc1ccc(Cl)c(S(=O)(=O)N2CCNCC2)c1O)Nc1cccc(F)c1Cl,,2.6
286,10520,NC(=O)c1cccnn1,-0.73,
287,2386,CC1=NNC(=O)N(N=Cc2cccnc2)C1,-0.18,
288,1069,CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0.63,
289,12603,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,5.06,
290,1598,CC(C)C(=O)Nc1ccccc1,1.95,
291,10690,NCCc1cn2ccccc2n1,0.59,
292,13212,Oc1cc2ccccc2[nH]1,1.16,
293,16189,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,,2.79
294,4799,CCOC(=O)c1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1,4.77,
295,13641,c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,4.8,
296,3054,CCCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(=O)CC21C,3.76,
297,5937,CN1CC(O)CN(C)C1=Nc1ncc([N+](=O)[O-])s1,0.16,
298,11345,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.14,
299,12847,O=c1c2ccccc2oc2ccccc12,3.39,
300,161,C(=Cc1ccccn1)c1ccccn1,2.11,
301,17424,O=c1[nH]ccc2[nH]c(C3=CC=NCC3)cc12,,1.49
302,3611,CCCCCSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,0.6,
303,12370,O=S(=O)(Nc1ccc(F)cc1F)C(F)(F)F,3.06,
304,4494,CCNc1cc(N)[n+]([O-])c(=N)[nH]1,-0.04,
305,9726,Cn1cc([N+](=O)[O-])nc1Br,0.33,
306,3564,CCCCCN,1.49,
307,12764,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(Cl)c3)c2s1,1.92,1.92
308,9351,Clc1cc(Cl)c2c(c1)Oc1cc(Cl)cc(Cl)c1O2,7.1,
309,3501,CCCCCCNC(=O)COC(=O)c1ccccc1,2.81,
310,6161,CNC(=O)Oc1cc(C)ccc1C(C)C,2.84,
311,14630,CCc1nc2c(=N)[nH]c3ccccc3c2n1CC(C)C,,2.55
312,9011,Cc1cnc(-c2ccc(C(C)C(=O)O)cc2F)s1,3.55,
313,10102,N=C(N)NCCCC(N)C(=O)O,-4.2,
