,Unnamed: 0,smiles,logP,logS
150,624,CC(=O)Cn1ccnc1[N+](=O)[O-],-0.34,
151,8865,Cc1cccc(C)c1C,3.66,-3.2
152,5466,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1.41,
153,7195,COc1cc(CC(=NC(=O)c2ccccc2)C(=O)Nc2cccc(CO)c2)ccc1OC(C)=O,4.04,
154,2319,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.88,-3.45
155,96,C#CCN(C)N=Nc1[nH]cnc1C(N)=O,0.33,
156,1709,CC(C)CC(N)Cc1ccccc1,3.29,
157,5160,CCOc1ccccc1N1CCN(CC2CN=C(N)O2)CC1,1.21,
158,8178,CSc1nncc(=O)n1N,0.38,
159,2020,CC(C)c1ccccc1C(C)C,4.1,
160,3399,CCCCCCCCCCCC(=O)OCC,5.71,
161,1441,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1,2.45,
162,5358,CCc1cccc(CC)c1NC1=NCCN1,2.48,
163,539,CC(=O)C(=Cc1cccc(Cl)c1)C(C)=O,2.26,
164,2747,CCC(C)C(=O)O,1.18,
165,4744,CCOC(=O)CNC(=O)CCCCSc1ncnc2[nH]cnc12,0.91,
166,666,CC(=O)N=c1[nH][nH]c(C)cc1=O,-0.89,
167,497,C=c1[nH]cc(CO)c(=CNNC(=O)c2ccc([N+](=O)[O-])cc2)c1=O,1.55,
168,3466,CCCCCCCCN,2.9,
169,6333,CNC12CCCCC1CCc1ccc(OC)cc12,3.75,
170,3261,CCCCC1OC(=O)c2cc([N+](=O)[O-])ccc21,2.92,
171,6164,CNC(=O)NS(=O)(=O)c1cccnc1,-0.45,
172,3869,CCCCSc1nnc(C(C)C)c(=O)n1N,3.21,
173,12642,O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,3.61,
174,9484,Clc1cc2ccccc2nn1,1.57,
175,4587,CCOC(=O)C(=Cc1ccccc1)C(C)=O,2.21,
176,5929,CN(N=O)C(=O)Nc1ccc(F)cc1,1.88,
177,11673,O=C(O)CCCCCOc1cccc2ccccc12,4.5,
178,12038,O=C(c1ccccc1)N(NC(=S)Nc1ccccc1)c1ccccc1,3.73,
179,8172,CSc1nnc(C)c(=O)n1N,-0.16,
180,10423,NC(=O)C1CCCN1C(=O)C(Cc1cn(C(=O)OC2CCCCC2)cn1)NC(O)c1ccc(O)[nH]1,0.6,
181,6071,CN=Cc1ccccc1,1.64,
182,1423,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cc(F)c(F)c(F)c1F,3.44,
183,13540,c1ccc(-c2nc[nH]n2)cc1,1.54,
184,515,CC#CC#CC#CC=CC(=O)OC,3.85,
185,10206,N=C1CC(=O)c2ccccc2C1=O,1.77,
186,13702,c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1,6.81,
187,11932,O=C(O)c1ccccc1Cl,2.05,
188,10501,NC(=O)NCCCCn1nc(-c2ccccc2)ccc1=O,1.21,
189,10142,N#Cc1cccc(S(N)(=O)=O)c1,0.24,
190,3473,CCCCCCCCOC(=O)CCCCCCC,6.51,
191,2358,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,0.65,
192,5182,CCOc1cnc(-c2ccccc2)c(-c2ccccc2)n1,4.73,
193,13917,CCCSCCC,,-2.58
194,7746,COc1cccc(CC(=O)O)c1,1.5,
195,11628,O=C(O)C=COc1ccc(Cl)cc1Cl,3.46,
196,4015,CCCNC(=O)c1ccc[nH]1,1.25,
197,3049,CCCC(=NOCC)C1C(=O)CC(C(C)CSCC)CC1=O,1.65,
198,9836,Cn1cnc([N+](=O)[O-])c1S(N)(=O)=O,-0.74,
199,1674,CC(C)CC(=O)NN,-0.31,
200,312,C=CC(=O)OCC,1.32,
201,8430,Cc1cc(C)cc(NS(=O)(=O)c2ccc(N)cc2)c1,2.52,
202,12337,O=Cc1ccc([N+](=O)[O-])o1,1.01,
203,4870,CCOC(=O)c1cccs1,2.33,
204,9645,Clc1ccc2ccc(Cl)cc2c1,4.81,
205,11368,O=C(Cc1ccccc1)Nc1ccccc1[N+](=O)[O-],2.73,
206,4718,CCOC(=O)CCCO,0.43,
207,2067,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,2.8,
208,12548,O=[N+]([O-])CCc1ccccc1,2.08,
209,13774,c1nnn(C23CC4CC(CC(C4)C2)C3)n1,2.95,
210,2418,CC1=NS(=O)(=O)c2cc(I)ccc2N1,1.61,
211,4993,CCOP(=O)(OCC)SCn1nnc2ccccc2c1=O,1.63,
212,3075,CCCC(=O)NN,-0.62,
213,12357,O=Cc1ccsc1,1.01,
214,7372,COc1ccc(-c2ssc(=S)c2C)cc1,4.1,
215,2262,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.87,
216,12149,O=C1CC(Oc2ccc(C(=O)c3ccccc3)cc2)N1,2.14,
217,2328,CC12CCC(=O)C=C1CCC1C3CCC4(CCC(=O)O4)C3(C)CC3OC312,1.89,
218,570,CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.17,-3.817
219,5420,CCc1nc(=NS(=O)(=O)c2ccc(N)cc2)cc(OC)[nH]1,1.0,
220,12101,O=C1C=CC(=O)C=C1,0.2,
221,10541,NC(=O)c1[nH]cnc1N=NN(CCO)Cc1ccccc1,0.99,
222,6737,COC(=O)c1cccn1C,1.8,
223,925,CC(=O)Nc1ccc(I)cc1,2.71,
224,11670,O=C(O)CCCCCCc1ccccc1,3.63,
225,2732,CCC(C)(C)C(=O)OC1CC(C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3CC(O)CC(=O)O3)[C@H]21,4.68,
226,4665,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.72,
227,2608,CC=NC(=O)CNC(=O)C=[NH+][NH-],-0.62,
228,4952,CCOCCn1cnc2[nH]c(=O)n(C)c(=N)c21,-1.1,
229,7107,COc1c(OC)c(OC(C)=O)c2c(C#N)cccc2c1OC(C)=O,2.51,
230,8096,CSCCC(NC(=O)C(C)N)C(=O)NC(C(=O)O)C(C)C,-0.63,
231,14041,c1ccc2c(c1)CCN2,,-1.04
232,725,CC(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)NC(C)(C)C,1.01,
233,11637,O=C(O)CBr,0.41,
234,6532,COC(=O)CCC(C)=O,-0.13,
235,11549,O=C(Nc1cccc2cccnc12)C(F)(F)F,3.24,
236,11970,O=C(OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O)c1ccc([N+](=O)[O-])cc1,1.24,
237,3156,CCCC12CC3CC(CC(N)(C3)C1)C2,3.76,
238,1666,CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O,0.11,
239,2394,CC1=CCC2CC(CC3(CCC(C)C(C)O3)O2)OC(=O)C2=CC(C)C(O)C3OCC(=CC=CC(C)C1)C23O,5.3,
240,9354,ClCC1(CCl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,5.23,
241,2065,CC(CCC(=O)NCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,2.25,
242,6875,COCC(F)Cn1cnc([N+](=O)[O-])n1,-0.04,
243,10862,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.03,
244,8660,Cc1ccc(CN=c2cc(-c3nc(=N)[nH][nH]3)cc[nH]2)cc1,2.69,
245,7161,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,6.4,
246,12168,O=C1CC(c2ccccc2)c2ccccc2N1,2.79,
247,3414,CCCCCCCCCCCCCCCCCCCC(=O)O,9.29,
248,11800,O=C(O)Cc1ccc(O)c(O)c1,0.98,
249,8573,Cc1ccc(C(=O)CS(=O)(=O)c2ccccc2)cc1,2.7,
250,1220,CC(=O)c1ccc(O)c2ncccc12,1.8,
251,11192,Nc1ccccc1F,1.26,
252,4848,CCOC(=O)c1ccc(NC(=O)N(C)OC)cc1,2.24,
253,4415,CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2cccs2)NC(=O)C(Cc2ccccc2)CC(O)N2CCOCC2)OC1=O,3.59,
254,5478,CCn1cnc2c(=NC(C)=O)[nH]cnc21,-0.41,
255,8206,C[N+](C)(C)[N-]C(=O)c1ccc([N+](=O)[O-])cc1,-0.15,
256,8560,Cc1ccc(/C=C/C(=O)NCCNC(=O)/C=C/c2ccc(C)o2)o1,3.97,
257,1925,CC(C)OC(=O)CS(=O)(=O)c1ccc([N+](=O)[O-])cc1Cl,2.4,
258,8304,Cc1c(NC(=O)C2CCCCN2S(=O)(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,3.89,
259,6406,CNc1ccc(C)cc1,2.15,
260,9624,Clc1ccc(Oc2ccccc2)cc1Cl,4.99,
261,6216,CNC(=O)Oc1cc(C)cc(C(C)C)c1,3.1,
262,1880,CC(C)NCC(O)COc1ccccc1C1CC1,3.07,
263,750,CC(=O)NC(CCC(=O)O)C(N)=O,-2.47,
264,10728,NCC(=O)NCC(=O)O,-2.92,
265,12480,O=S(=O)(c1ccccc1)C(F)(F)F,2.69,
266,2566,CC1OC(OC2CCC3(C)C(CCC4C3CC(O)C3(C)C(c5coc(O)c5)CCC43O)C2)CC(O)C1O,1.09,
267,9449,Clc1cc(Cl)cc(-c2ccc(Cl)cc2Cl)c1,6.2,
268,9507,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,5.9,
269,8577,Cc1ccc(C(=O)N(C)NC(=S)Nc2ccccc2)cc1,3.01,
270,2957,CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O,2.53,
271,12252,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,0.47,
272,11083,Nc1ccc(Oc2ccc(N)cc2)cc1,1.36,
273,11613,O=C(O)C1CCN1CC(O)Cn1ccnc1,-2.02,
274,4753,CCOC(=O)CON=Cc1ccc(OCCOC(=O)CC)c(OC)c1,2.39,
275,9515,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,5.62,
276,11652,O=C(O)CCC1=NS(=O)(=O)c2ccccc2N1,-0.18,
277,9839,Cn1cnc([N+](=O)[O-])n1,-0.68,
278,6830,COC1CC(Cl)C(Cl)C(Cl)C1Cl,2.99,
279,9365,ClCc1cccc(CCl)c1,2.72,
280,4942,CCOCCOC(=O)C(C#N)C(CC)=Nc1ccc([N+](=O)[O-])cc1,2.6,
281,7428,COc1ccc(C(C)=O)c(N)c1,1.76,
282,9916,Fc1cc(F)cc(Cn2cc[nH]c2=S)c1,1.98,
283,11838,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,5.19,
284,5882,CN(CCCl)CCCl,0.91,
285,12591,O=[N+]([O-])c1cc(Cl)c(N=c2[nH]cc([N+](=O)[O-])cc2Cl)c([N+](=O)[O-])c1,2.6,
286,901,CC(=O)Nc1ccc(C(=O)N(Cc2ccco2)C2(C(=O)Nc3c(C)cccc3C)CCCCC2)cc1,4.62,
287,7852,COc1ccccc1C(N)=O,0.86,
288,5263,CCc1c(C#N)c(SCC(=O)N2CCc3cc(OC)c(OC)cc3C2)nc2c1C(=O)CC(C)(C)C2,4.89,
289,7496,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,3.0,
290,2277,CC1(CO)COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)OC1,2.1,
291,5844,CN(C)c1cnnc(N(C)C)c1,0.84,
292,9508,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,6.63,
293,11412,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1,5.1,
294,13794,C=C(C)C(=C)C,,-2.4
295,12164,O=C1CC(c2ccc(O)c(O)c2)Oc2cccc(O)c21,2.81,
296,3775,CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,4.7,
297,8922,Cc1cccc(N2CCN(CC3CN=C(N)O3)CC2)c1C,2.19,
298,8647,Cc1ccc(C=[N+]([O-])C(C)(C)C)cc1,1.74,
299,5261,CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,2.69,
300,2507,CC1CCCCC1O,1.82,
301,2810,CCC(C)C(NC(=O)C(NC(C)=O)C(C)=O)C(N)O,-0.86,
302,1806,CC(C)Cc1ccccc1,4.68,-4.12
303,12761,O=[N+]([O-])c1nccn1CC(O)CCl,0.15,
304,3849,CCCCOc1cccc(OC(=O)NC)c1,2.96,
305,11721,O=C(O)CNC(=O)c1ccccc1O,0.95,
306,7677,COc1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cc(OC)ccc4n4cccc34)CC1)c1cccn12,3.72,
307,12242,O=C1NC(Cc2ccccc2)C(=O)NC1Cc1ccccc1,1.59,
308,2235,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,1.09,
309,6148,CNC(=O)N=c1[nH]onc1C,0.3,
310,7640,COc1ccc([C@H]2C[C@H](C(F)(F)F)n3ncc(C(=O)N(C)Cc4cnn(C)c4C)c3N2)cc1OC,4.25,
311,5501,CN(C(=S)c1ccccc1)c1ccccc1,3.12,
312,1843,CC(C)N=c1[nH]c(Cl)nc(=N)[nH]1,1.51,
313,4704,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.36,-3.37
314,6145,CNC(=O)N(CCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1,1.86,
315,8451,Cc1cc(CC(=O)O)ccc1OCc1ccccc1,3.37,
316,10992,Nc1cc(C(F)(F)F)ccc1Cl,3.06,
317,4308,CCN(CC)CCNC(=O)c1cc(C#N)c(N)cc1OC,1.94,
318,10883,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,1.95,
319,13625,c1ccc2c(c1)CCCC2,3.49,-4.37
320,2296,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,-0.56,
321,10966,NS(=O)(=O)c1nc2ccc(O)cc2s1,1.13,
322,8076,CSC(C)=NOC(=O)N(C)SN(C)C(=O)c1ccc(Cl)cc1Cl,3.2,
323,5200,CCS(=O)(=O)CCn1ccnc1[N+](=O)[O-],-0.58,
324,4791,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,4.3,-4.7
325,444,C=CCOc1noc2c1CNCC2,0.56,
326,3495,CCCCCCCCn1ccc(=O)c(O)c1C,2.88,
327,11521,O=C(Nc1ccc(Cl)cc1Cl)c1ccccc1O,5.49,
328,3975,CCCN1C(=O)NC(=O)C(=O)C1=O,0.28,
329,7706,COc1ccc2cccnc2c1,2.37,
330,4212,CCN(C(=O)C(=O)c1cn(CC(=O)N2CCOCC2)c2ccccc12)c1ccccc1,2.05,
