smiles,logS
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.2860000000000005
CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,-4.43
CC(C)NC(=O)n1cc(O)n(-c2cc(Cl)cc(Cl)c2)c1=O,-4.376
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,-4.53
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
CC(C)OC(C)C,-1.1
CC(C)OC=O,-0.63
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.6960000000000015
CC(C)SC(C)C,-2.24
CC(C)[N+](=O)[O-],-0.62
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536
CC(C)c1ccccc1,-3.27
CC(Cl)(Cl)Cl,-2.0
CC(Cl)CCl,-1.6
CC(O)C(C)(C)C,-0.62
CC(O)c1ccccc1,-0.92
CC1(C)C(=O)NC(=O)NC1=O,-1.742
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.176
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.3370000000000015
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017000000000001
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.291
CC1(C)C2CCC1(C)C(O)C2,-2.32
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338
CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-4.31
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68
CC12CC(=O)C3C(CC=C4CC(=O)CCC43C)C1CCC2=O,-3.48
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-4.8
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.24
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-3.85
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-4.02
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43
CC12CCC(C1)C(C)(C)C2=O,-1.85
CC12CCC(CC1)C(C)(C)O2,-1.74
CC12CCC(CC1=O)C2(C)C,-1.96
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282
CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,-3.69
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,-4.743
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.16
CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,-4.955
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.955
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03
CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24
CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09
CC1=CC(=O)CC(C)(C)C1,-1.06
CC1=CC(=O)c2ccccc2C1=O,-3.03
CC1=CCCCC1,-3.27
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13
CC1CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
CC1CCC(C(C)C)C(=O)C1,-2.35
CC1CCC(C(C)C)C(O)C1,-2.53
CC1CCC(C)CC1,-4.47
CC1CCCC1,-3.3
CC1CCCCC1,-3.85
CC1CCCCC1C,-4.3
CC1CCCCC1NC(=O)Nc1ccccc1,-4.11
CC1CCCO1,0.11
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.081
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.292999999999998
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95
CC=C(C)C,-2.56
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.07
CC=CC=O,0.32
CC=Cc1ccc(OC)cc1,-3.13
CCC#CCC,-1.99
CCC(=O)CC,-0.28
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0
CCC(=O)OC,-0.14
CCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-5.37
CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.907
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
CCC(C)(C)C,-3.55
CCC(C)(C)CC,-4.23
CCC(C)(C)CO,-1.04
CCC(C)(C)Cl,-2.51
CCC(C)(C)O,0.15
CCC(C)(O)CC,-0.36
CCC(C)=O,0.52
CCC(C)C,-3.18
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005
CCC(C)C(C)=O,-0.67
CCC(C)C(C)C,-4.28
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
CCC(C)CC,-3.68
CCC(C)CCO,-0.71
CCC(C)CO,-0.47
CCC(C)Cl,-1.96
CCC(C)O,0.47
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523
CCC(C=O)CC,-1.52
CCC(CC)CO,-1.17
CCC(O)(CC)CC,-0.85
CCC(O)C(C)C,-0.7
CCC(O)CC,-0.24
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.148
CCC1(C)C(=O)NC(=O)NC1=O,-1.228
CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23
CCC1(CC)C(=O)NC(=O)NC1=O,-2.4
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.253
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64
CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337
CCC1CCCCC1,-4.25
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29
CCCC(=O)CC,-0.83
CCCC(=O)CCC,-1.3
CCCC(=O)OC,-1.92
CCCC(=O)OCC,-1.36
CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.0710000000000015
CCCC(C)(C)C,-4.36
CCCC(C)(C)CO,-1.52
CCCC(C)(C)O,-0.49
CCCC(C)(COC(N)=O)COC(N)=O,-1.807
CCCC(C)(O)CC,-0.98
CCCC(C)=O,-0.19
CCCC(C)C,-3.74
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
CCCC(C)CO,-1.11
CCCC(C)O,-0.29
CCCC(O)CC,-0.8
CCCC(O)CCC,-1.4
CCCC1CCCC1,-4.74
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003
CCCC=C(C=O)CC,-2.46
CCCC=O,-0.01
CCCCBr,-2.37
CCCCC,-3.18
CCCCC(=O)CCCC,-2.58
CCCCC(=O)OC,-1.34
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71
CCCCC(=O)OCC,-2.25
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678
CCCCC(C)(C)O,-1.08
CCCCC(C)(O)CC,-1.6
CCCCC(C)=O,-0.8
CCCCC(C)CC,-5.16
CCCCC(C)O,-0.89
CCCCC(C=O)CC,-2.13
CCCCC(CC)CO,-2.11
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
CCCCC(O)CC,-1.47
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661
CCCCC=O,-0.85
CCCCCBr,-3.08
CCCCCC,-3.84
CCCCCC(=O)OC,-1.87
CCCCCC(=O)OCC,-2.35
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886
CCCCCC(C)(C)O,-1.72
CCCCCC(C)=O,-1.45
CCCCCC(C)C,-5.08
CCCCCC(C)O,-1.55
CCCCCC(O)CC,-1.98
CCCCCC1CCCC1,-6.08
CCCCCC=O,-1.3
CCCCCCBr,-3.81
CCCCCCC,-4.53
CCCCCCC(=O)OCC,-2.74
CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301
CCCCCCC(C)=O,-2.05
CCCCCCC(C)O,-2.09
CCCCCCCBr,-4.43
CCCCCCCC,-5.24
CCCCCCCC(=O)OC,-3.17
CCCCCCCC(=O)OCC,-3.39
CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523
CCCCCCCC(C)=O,-2.58
CCCCCCCC(C)O,-2.74
CCCCCCCCBr,-5.06
CCCCCCCCC,-5.88
CCCCCCCCC(=O)OC,-3.38
CCCCCCCCC(=O)OCC,-3.8
CCCCCCCCC(C)=O,-3.3
CCCCCCCCCC(=O)OC,-4.69
CCCCCCCCCC(=O)OCC,-4.1
CCCCCCCCCC(C)O,-2.94
CCCCCCCCCCCC(=O)OC,-4.69
CCCCCCCCCCCCCC,-7.96
CCCCCCCCCCCCCCCC,-8.4
CCCCCCCCCCCCCCCCCCCC,-8.172
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
CCCCCCCCCCCCCCCCCCO,-8.4
CCCCCCCCCCCCCCCCO,-7.0
CCCCCCCCCCCCCCCO,-6.35
CCCCCCCCCCCCCCO,-5.84
CCCCCCCCCCCCO,-4.8
CCCCCCCCCCO,-3.63
CCCCCCCCCO,-3.01
CCCCCCCCO,-2.39
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-5.115
CCCCCCCCl,-4.0
CCCCCCCI,-4.81
CCCCCCCO,-1.81
CCCCCCCl,-3.12
CCCCCCO,-1.24
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
CCCCCCc1ccc(O)cc1O,-2.59
CCCCCCc1ccccc1,-5.21
CCCCCCl,-2.73
CCCCCO,-0.6
CCCCCOC(=O)CC,-1.28
CCCCCOC(C)=O,-1.89
CCCCCc1ccccc1,-4.64
CCCCCl,-2.03
CCCCI,-2.96
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
CCCCN(CC)C(=O)SCCC,-3.53
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.53
CCCCNC(=O)n1c(=NC(=O)OC)[nH]c2ccccc21,-4.883
CCCCO,0.0
CCCCOC,-0.99
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
CCCCOC(=O)c1ccc(N)cc1,-3.082
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
CCCCOC=O,-1.37
CCCCOCCCC,-1.85
CCCCOCCO,-0.42
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19
CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,-3.84
CCCCS,-2.18
CCCCSP(=O)(SCCCC)SCCCC,-5.14
CCCCc1c(C)[nH]c(=NCC)[nH]c1=O,-3.028
CCCCc1c(C)[nH]c(N(C)C)nc1=O,-2.24
CCCCc1c(C)nc(=NCC)[nH]c1OS(=O)(=O)N(C)C,-4.16
CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O,-3.73
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-3.81
CCCCc1ccccc1,-4.06
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-5.16
CCCOC,-0.39
CCCOC(=O)CC,-0.82
CCCOC(=O)CCC,-1.75
CCCOC(=O)c1ccc(N)cc1,-2.452
CCCOC(C)=O,-0.72
CCCOC(C)C,-1.34
CCCOC=O,-0.49
CCCOCC,-0.66
CCCOCCC,-1.62
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
CCCSCCC,-2.58
CCC[N+](=O)[O-],-0.8
CCCc1c(O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,-3.5380000000000003
CCCc1ccccc1,-3.37
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47
CCN(CC)c1ccccc1,-3.03
CCN(CC)c1nc(=NC(C)C)nc(Cl)[nH]1,-3.785
CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,-4.4110000000000005
CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.78
CCN1C(=O)c2ccccc2Oc2ccccc21,-3.68
CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-2.86
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36
CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21,-4.871
CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153
CCN1c2ccccc2C(=O)N(C)c2ccccc21,-4.749
CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324
CCN1c2ccccc2N(C)C(=S)c2cccnc21,-4.706
CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21,-3.36
CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,-4.114
CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62
CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21,-4.207
CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,-4.5539999999999985
CCN1c2ncccc2C(=S)N(C)c2cccnc21,-4.634
CCN=c1[nH]c(Cl)nc(=NC(C)(C)C#N)[nH]1,-3.15
CCN=c1[nH]c(Cl)nc(=NC(C)C)[nH]1,-3.85
CCN=c1[nH]c(OC)nc(=NC(C)(C)C)[nH]1,-3.239
CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1,-2.084
CCN=c1[nH]c(SC)nc(=NC(C)(C)C)[nH]1,-4.0
CCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,-3.04
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,-4.55
CCN=c1nc(Cl)[nH]c(N(CC)CC)n1,-4.06
CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83
CCNC(=S)NCC,-1.46
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408
CCNc1ccccc1,-1.7
CCOC(=O)C=Cc1ccccc1,-3.0
CCOC(=O)CC,-0.66
CCOC(=O)CC(=O)OCC,-0.82
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-4.71
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.7
CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,-4.632
CCOC(=O)c1ccc(N)cc1,-2.616
CCOC(=O)c1ccc(O)cc1,-2.35
CCOC(=O)c1ccccc1,-2.32
CCOC(=O)c1ccccc1C(=O)OCC,-2.35
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005
CCOC(=O)c1cncn1C(C)c1ccccc1,-4.735
CCOC(C)=O,-0.04
CCOC(C)OCC,-0.43
CCOC(N)=O,0.85
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42
CCOC=O,0.15
CCOCC,-0.09
CCOCCOCC,-0.77
CCOP(=O)(OCC)OCC,0.43
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000002
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.3
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.66
CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1,-5.3820000000000014
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
CCOP(=S)(OCC)SCCSCC,-4.23
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
