smiles,logD
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.98
C=CC(=O)Nc1ccc(C)cc1,2.25
C=CC(=O)Nc1ccc(OC)cc1,1.68
C=CC(=O)Nc1ccc2[nH]cnc(=Nc3cccc(C)c3)c2c1,3.7
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3c[nH]c(=NCCCCN(CC)CC)nc32)c1,2.04
C=CC(=O)Nc1cccc(Oc2[nH]c(=Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3.9
C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,2.08
C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(=N)[nH]3)C2SC1,-0.79
C=CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,2.1500000000000004
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.48
C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,4.38
C=CCCCCCCCCC(O)Nc1ccc(=O)[nH]c1O,2.64
C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.1
C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6
C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6
C=CCN(CC=C)c1ccc(=Nn2c(C)ccc2C)[nH]n1,1.7
C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,1.1775
C=CCN1CCc2[nH]c(=N)sc2CC1,1.09
C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(=Nc3ccc(Cl)c(Cl)c3)[nH]c12,2.7
C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,3.07
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.0
C=CCOc1ccccc1OCC(O)CNC(C)C,0.19
C=CCOc1ccccc1OC[C@H](O)CNC(C)C,0.18
C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,-0.01
C=CCc1ccccc1OCC(O)CNC(C)C,0.9533333333333336
C=CCc1ccccc1OC[C@H](O)CNC(C)C,0.93
C=CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,4.27
C=CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.62
C=CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.92
C=CCn1ccc(=O)c(O)c1C,0.03
C=CCn1ccc(=O)c(O)c1CC,0.47
C=C[C@H]1CN2CC[C@@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.19
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.26
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,2.1933333333333334
C=C[C@H]1C[N+]2(C)CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.[I-],-1.31
C=Cc1nc2ccccc2n2cccc12,3.08
C=c1c(-c2c(C)c(O)c3c(c2O)=CC(=O)C(=O)C=3Cc2ccccc2)c(O)c2cc(O)c(O)c(=Cc3ccccc3)c2c1O,2.73
C=c1c(CCC(=O)O)c[nH]c1=Cc1c(O)[nH]c2ccccc12,1.05
C=c1cc(C)c(=Cc2[nH]c(-c3cc4ccccc4[nH]3)cc2OC)[nH]1,2.55
CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.61
CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(=N)N3)ccc2O)c1,3.6
CC#Cc1ccnc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,4.4
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(=N)N3)c2)c1,3.3
CC(=N)NCc1ccccc1,-0.28
CC(=O)C(N)C(O)O,-0.26
CC(=O)C(NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]([NH3+])C(C)C)C([O-])O,-1.32
CC(=O)C(NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]([NH3+])CC(C)C)C(C)C)C(O)N[C@@H](Cc1ccccc1)C(=O)[O-],-1.18
CC(=O)C(NC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)C(O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[O-],-1.18
CC(=O)C(O)N1CCN(Cc2sc3c(N4CCOCC4)nc(-c4cnc(=N)[nH]c4)nc3c2C)CC1,1.9
CC(=O)C(O)N1CCN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)cc[nH]3)cc2)CC1,2.15
CC(=O)C([NH3+])C(=O)NCC(=O)NC(CC(C)C)C([O-])O,-1.97
CC(=O)C1CC[C@@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,3.48
CC(=O)C1CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,3.25
CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.71
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.7433333333333333
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.2577777777777778
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,1.12
CC(=O)N(C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,2.88
CC(=O)N(C)c1ccc2ccn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,2.9
CC(=O)N(C)c1ccccc1,1.1
CC(=O)N(Cc1ccccc1OC(C)C)c1ccc(Cl)cc1Oc1ccccc1,4.02
CC(=O)N(c1ccc(N2CCOCC2)nn1)n1c(C)ccc1C,1.64
CC(=O)N(c1ccccc1)C1CC(C)N(S(=O)(=O)c2ccccc2)c2ccccc21,3.68
CC(=O)N1CCN(CC(O)COc2ccc(Br)cc2)CC1,1.6
CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(=Nc4c(F)ccc5c4OCO5)[nH]cnc3c2)CC1,3.06
CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,2.2
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,3.2
CC(=O)N1CCN(c2[nH]c(C#N)nc(=NCC(C)C)c2N)CC1,2.4
CC(=O)N1CCN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)cc[nH]3)cc2)CC1,2.39
CC(=O)N1CCN(c2ccc(N=c3nc(-c4cnc5ccccn45)cc[nH]3)cc2)CC1,2.82
CC(=O)N1CCN(c2ccc(NC(=O)c3n[nH]c(=Nc4ccccc4F)o3)cc2)CC1,2.51
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.7
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.83
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.33
CC(=O)N1CCOc2cc(COc3ccccc3)cnc21,2.8
CC(=O)N1CCOc2nc(OCc3ccccc3)ccc21,2.4
CC(=O)N1CCc2cc3nc(C)cc(C)c3cc21,2.64
CC(=O)N=c1[nH]c(-c2ccccc2)ns1,2.8
CC(=O)N=c1[nH]c(-c2cccs2)cs1,2.77
CC(=O)N=c1[nH]c(=N)n(-c2ccccc2)[nH]1,-0.2
CC(=O)N=c1[nH]c(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1,0.55
CC(=O)N=c1[nH]c(CCc2ccc(N=C(N)N)cc2)cs1,-0.82
CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-0.78
CC(=O)N=c1cc(CN2C(=O)N(c3ccc(SC(F)(F)F)cc3)C(=O)C2(C)C)cc[nH]1,2.93
CC(=O)N=c1cccc[nH]1,0.5
CC(=O)NC(C(=O)NC(C(N)=O)C(C)C)C(C)C,-0.32
CC(=O)NC(C(=O)NC(C(N)=O)C(C)C)C(C)O,-1.25
CC(=O)NC(C(=O)NC(C)C(=O)NC(C(N)=O)C(C)C)C(C)C,-0.67
CC(=O)NC(C(=O)NC(C)C(=O)NC(C)C(N)=O)C(C)C,-1.4
CC(=O)NC(C(=O)NC(C)C(N)=O)C(C)C,-1.14
CC(=O)NC(C(=O)NC(CCC(N)=O)C(N)=O)C(C)C,-1.82
CC(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(N)=O)C(C)C,0.06
CC(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(C)(C)C,-0.39
CC(=O)NC(C)C(=O)NC(C(N)=O)C(C)C,-1.13
CC(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C,-0.51
CC(=O)NC(C)C(=O)NC(C)C(N)=O,-2.01
CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,-3.4
CC(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(N)=O)C(C)C,-0.14
CC(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O,-0.54
CC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,-3.15
CC(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(C)(C)C,1.25
CC(=O)NC(C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C)C(=O)NC(C)(C)C,-0.46
CC(=O)NC(C)C(=O)NC(Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NC(C)(C)C,-0.48
CC(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(N)=O,-0.04
CC(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,0.26
CC(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)NC(C)(C)C,1.01
CC(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC(C)(C)C,-0.6
CC(=O)NC(C)C(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O,-0.71
CC(=O)NC(C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,3.1
CC(=O)NC(C=O)C(=O)NC(C(C)C)C(N)O,-1.53
CC(=O)NC(C=O)C(=O)NC(Cc1ccccc1)C(N)O,-0.79
CC(=O)NC(C=O)C(O)N(C)C(Cc1ccccc1)C(=O)NCC(=O)NCC(N)=O,-1.51
CC(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,-1.39
CC(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(C)C)C(N)=O)[C@@H](C)O,0.24
CC(=O)NC(CC(C)C)C(=O)NC(C(N)=O)C(C)C,0.26
CC(=O)NC(CC(C)C)C(=O)NC(C=O)C(O)NC(Cc1ccccc1)C(N)=O,0.23
CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(N)=O,-1.55
CC(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(N)=O,-1.3
CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,-1.25
CC(=O)NC(CC(C)C)C(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,-1.41
CC(=O)NC(CC(C)C)C(=O)NC(CCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,-1.38
CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(N)=O,-0.93
CC(=O)NC(CC(N)=O)C(=O)NC(C(N)=O)C(C)C,-1.85
CC(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(N)=O,-1.14
CC(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,-1.52
CC(=O)NC(CCC(N)=O)C(=O)NC(C(N)=O)C(C)C,-1.85
CC(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(N)=O,-1.32
CC(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(N)=O,0.07
CC(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(N)=O,-1.14
CC(=O)NC(CCCCN)C(=O)N(C)C(Cc1ccccc1)C(=O)NCC(=O)N(C)C(CC(C)C)C(N)=O,-1.33
CC(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,-2.13
CC(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,-1.51
CC(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,-2.43
CC(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,-1.04
CC(=O)NC(CCC[NH3+])C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,-1.37
CC(=O)NC(CCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,-2.23
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C(N)=O)C(C)C,0.73
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(C(N)=O)C(C)C,0.36
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(C)C(N)=O,-0.38
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O,0.99
CC(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(N)=O)C(C)C,-2.06
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(N)=O)C(C)C,-0.2
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(N)=O,0.32
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,0.54
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(=O)NC(CCC(N)=O)C(N)=O,-2.59
CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,1.64
CC(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,0.43
CC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(N)=O,-1.19
CC(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C(=O)N(C)[C@@H](CC(C)C)C(N)=O)C(C)C,2.42
CC(=O)NC(Cc1ccccc1)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,-1.08
CC(=O)NC(Cc1ccccc1)C(=O)NC(CCC(N)=O)C(N)=O,-1.03
CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(N)=O,-2.23
CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1cnc[nH]1)C(N)=O,0.89
CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(N)=O,0.46
CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,2.3
CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,1.19
CC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NC(CC(C)C)C(N)=O,0.6
CC(=O)NC(Cc1ccccc1)C(=O)NCC(N)=O,-0.5
CC(=O)NC1CC(C)N(C(=O)c2ccccc2)c2ccccc21,2.0
CC(=O)NC1CC2CCCC(C1)N2C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,2.79
CC(=O)NC1CN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)c(F)c[nH]3)cc2)C1,2.76
CC(=O)NCC(=O)NC(C(N)=O)C(C)C,-1.33
CC(=O)NCC(=O)NC(C)C(=O)NC(C(N)=O)C(C)C,-1.56
CC(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(N)=O,-1.23
CC(=O)NCC(=O)NC(CC(C)C)C(N)=O,-0.78
CC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(N)=O,-1.09
CC(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O,-0.56
CC(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,2.4
CC(=O)NCCn1ccc(=O)c(O)c1C,-1.15
CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)nn3)c(F)c2)C(=O)O1,0.8
CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C#N)c3)c(F)c2)C(=O)O1,1.6
CC(=O)NC[C@H]1CN(c2ccc(-n3ccnc3)c(F)c2)C(=O)O1,0.7
CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(C#N)c3)c(F)c2)C(=O)O1,1.51
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4ccc(C#N)cn4)CC3)c(F)c2)C(=O)O1,1.98
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4cnccn4)CC3)c(F)c2)C(=O)O1,1.49
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0.67
CC(=O)NC[C@H]1CN(c2ccc(N3Cc4cccnc4C3)c(F)c2)C(=O)O1,2.88
CC(=O)NC[C@H]1CN(c2ccc(N3Cc4ccncc4C3)c(F)c2)C(=O)O1,3.02
CC(=O)NCc1ccc(CN2CCN(c3ccc(F)cc3F)CC2)cc1,2.5
CC(=O)NCc1ccc(CN2CCN(c3ccccc3)CC2)cc1,1.78
CC(=O)N[C@@H](C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,3.17
CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccccc5c4c3)CC2)c2ccccc21,2.96
CC(=O)N[C@@H]1CCN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)c(F)c[nH]3)cc2)C1,3.3
CC(=O)N[C@H](C)c1ccc(N=c2nc3c(C)cc(-c4ccncc4)cc3c[nH]2)cc1,3.46
CC(=O)N[C@H](C)c1ccc(N=c2nc3cc(C)c(-c4ccncc4)cc3c[nH]2)cc1,3.45
CC(=O)N[C@H](C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,3.18
CC(=O)Nc1cc2c(ccn2-c2cc(=NC3CC3)n3[nH]cc(C#N)c3n2)cc1C,2.66
CC(=O)Nc1ccc(-c2cc[nH]c(=Nc3ccc(N4CCOCC4)cc3)n2)cc1,2.91
CC(=O)Nc1ccc(-c2ccccc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O,1.78
CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,0.82
CC(=O)Nc1ccc(CC(=O)N(C)C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,2.9
CC(=O)Nc1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,2.9
CC(=O)Nc1ccc(CN2CCN(Cc3ccc4[nH]cc(CCN(C)C)c4c3)S2(=O)=O)cc1,0.42
CC(=O)Nc1ccc(CN=c2[nH][nH]c3cccc(Oc4ccc(F)cc4)c23)cc1,4.28
CC(=O)Nc1ccc(CN=c2[nH][nH]c3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,2.63
CC(=O)Nc1ccc(CN=c2[nH][nH]c3ccnc(Oc4ccccc4)c23)cc1,3.03
CC(=O)Nc1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,3.04
CC(=O)Nc1ccc(O)cc1,0.37666666666666665
CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,2.76
CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,2.1
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,-1.4
CC(=O)Nc1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,0.24
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cc3ccncc3)cc2)cc1,2.8
CC(=O)Nc1ccc2[nH]c(-c3cccc(F)c3)cc(=O)c2c1,2.41
CC(=O)Nc1ccc2[nH]cc(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,2.65
CC(=O)Nc1ccc2c(=O)oc(=NC(C)C)[nH]c2c1,1.2
CC(=O)Nc1ccc2c(c1)N(c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)CC2,3.3
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2C,2.94
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCC(=O)O,-0.87
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCCO,2.48
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCO,2.71
CC(=O)Nc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,0.2
CC(=O)Nc1ccc2ccn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,3.29
CC(=O)Nc1ccc2ccn(-c3cc(=NC4COC4)n4[nH]cc(C#N)c4n3)c2c1,2.24
CC(=O)Nc1ccc2ccn(-c3cc(=NCCCCO)n4[nH]cc(C#N)c4n3)c2c1,2.58
CC(=O)Nc1ccc2ccn(-c3cc(=NCCCN(C)C)n4[nH]cc(C#N)c4n3)c2c1,1.62
CC(=O)Nc1ccc2ccn(-c3cc(=NCCCN4CCCC4)n4[nH]cc(C#N)c4n3)c2c1,1.87
CC(=O)Nc1ccc2ccn(-c3cc(=NCCN4CCCC4)n4[nH]cc(C#N)c4n3)c2c1,2.24
CC(=O)Nc1ccc2ccn(-c3cc(=Nc4ccn(C)n4)n4[nH]cc(C#N)c4n3)c2c1,3.57
CC(=O)Nc1ccc2cnn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,3.44
