,smiles,pH,logD
21,C(#Cc1[nH]nc2ccccc12)c1ccccc1,7.4,4.31
22,C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,7.4,3.4
23,C(=C/c1nc2ccccc2n2cccc12)\c1ccccc1,7.4,4.84
24,C(=Cc1nn[nH]n1)c1ccccc1,7.4,-0.4
25,C/C=C/c1ccc2ccccc2n1,7.4,2.23
26,C/C=C/c1nc2cc(OC)ccc2n2cccc12,7.4,3.47
27,C/C=C/c1nc2ccc(OC)cc2n2cccc12,7.4,3.48
28,C/C=C/c1nc2ccccc2n2cccc12,7.4,3.44
29,C/C=C\c1nc2ccccc2n2cccc12,7.4,3.3
30,C1=C(c2cc3ccccc3o2)C2CCN1CC2,7.4,2.59
31,C1=C(c2nc3ccccc3n3cccc23)CCCC1,7.4,4.12
32,C1=CCC(c2cc3ccccc3o2)CNC1,7.4,1.94
33,C1=CCC(c2ccc3ccccc3c2)CNC1,7.4,1.64
34,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,7.4,3.02
35,C1CCC(NC2CCCCC2)CC1,7.4,-0.38
36,C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,7.4,3.6
37,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4C2C3=O)O1,7.4,3.57
38,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,7.4,0.02
39,C=C1C=CC=C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(OC)/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC1=O,7.4,0.7
40,C=C1C=CC=C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(OC)C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC1=O,7.4,0.7
41,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,7.4,2.98
42,C=CC(=O)Nc1ccc(C)cc1,7.4,2.25
43,C=CC(=O)Nc1ccc(OC)cc1,7.4,1.68
44,C=CC(=O)Nc1ccc2[nH]cnc(=Nc3cccc(C)c3)c2c1,7.4,3.7
45,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3c[nH]c(=NCCCCN(CC)CC)nc32)c1,7.4,2.04
46,C=CC(=O)Nc1cccc(Oc2[nH]c(=Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,7.4,3.9
47,C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,7.4,2.08
48,C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(=N)[nH]3)C2SC1,7.4,-0.79
49,C=CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,7.4,2.1500000000000004
50,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,7.4,1.48
51,C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,7.4,4.38
52,C=CCCCCCCCCC(O)Nc1ccc(=O)[nH]c1O,7.4,2.64
53,C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,7.4,3.1
54,C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,7.4,3.6
55,C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,7.4,3.6
56,C=CCN(CC=C)c1ccc(=Nn2c(C)ccc2C)[nH]n1,7.4,1.7
57,C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,7.4,1.1775
58,C=CCN1CCc2[nH]c(=N)sc2CC1,7.4,1.09
59,C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(=Nc3ccc(Cl)c(Cl)c3)[nH]c12,7.4,2.7
60,C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,7.4,3.07
61,C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,7.4,3.0
62,C=CCOc1ccccc1OCC(O)CNC(C)C,7.4,0.19
63,C=CCOc1ccccc1OC[C@H](O)CNC(C)C,7.4,0.18
64,C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,7.4,-0.01
65,C=CCc1ccccc1OCC(O)CNC(C)C,7.4,0.9533333333333335
66,C=CCc1ccccc1OC[C@H](O)CNC(C)C,7.4,0.9299999999999999
67,C=CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,4.27
68,C=CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,3.62
69,C=CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,3.92
70,C=CCn1ccc(=O)c(O)c1C,7.4,0.03
71,C=CCn1ccc(=O)c(O)c1CC,7.4,0.47
72,C=C[C@H]1CN2CC[C@@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12,7.4,2.19
73,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,7.4,2.26
74,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,7.4,2.1933333333333334
75,C=C[C@H]1C[N+]2(C)CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.[I-],7.4,-1.31
76,C=Cc1nc2ccccc2n2cccc12,7.4,3.08
77,C=c1c(-c2c(C)c(O)c3c(c2O)=CC(=O)C(=O)C=3Cc2ccccc2)c(O)c2cc(O)c(O)c(=Cc3ccccc3)c2c1O,7.4,2.73
78,C=c1c(CCC(=O)O)c[nH]c1=Cc1c(O)[nH]c2ccccc12,7.4,1.05
79,C=c1cc(C)c(=Cc2[nH]c(-c3cc4ccccc4[nH]3)cc2OC)[nH]1,7.4,2.55
80,CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,3.61
81,CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(=N)N3)ccc2O)c1,7.4,3.6
82,CC#Cc1ccnc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,7.4,4.4
83,CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(=N)N3)c2)c1,7.4,3.3
84,CC(=N)NCc1ccccc1,7.4,-0.28
85,CC(=O)C(N)C(O)O,7.4,-0.26
86,CC(=O)C(NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]([NH3+])C(C)C)C([O-])O,7.0,-1.32
87,CC(=O)C(NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]([NH3+])CC(C)C)C(C)C)C(O)N[C@@H](Cc1ccccc1)C(=O)[O-],7.0,-1.18
88,CC(=O)C(NC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)C(O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[O-],7.0,-1.18
89,CC(=O)C(O)N1CCN(Cc2sc3c(N4CCOCC4)nc(-c4cnc(=N)[nH]c4)nc3c2C)CC1,7.4,1.9
90,CC(=O)C(O)N1CCN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)cc[nH]3)cc2)CC1,7.4,2.15
91,CC(=O)C([NH3+])C(=O)NCC(=O)NC(CC(C)C)C([O-])O,7.0,-1.97
92,CC(=O)C1CC[C@@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,7.4,3.48
93,CC(=O)C1CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,7.4,3.25
94,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7.4,3.7099999999999995
95,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,7.4,0.7433333333333333
96,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,7.4,0.2577777777777778
97,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,7.4,1.12
98,CC(=O)N(C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,7.4,2.88
99,CC(=O)N(C)c1ccc2ccn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,7.4,2.9
100,CC(=O)N(C)c1ccccc1,7.4,1.1
101,CC(=O)N(Cc1ccccc1OC(C)C)c1ccc(Cl)cc1Oc1ccccc1,7.4,4.02
102,CC(=O)N(c1ccc(N2CCOCC2)nn1)n1c(C)ccc1C,7.4,1.64
103,CC(=O)N(c1ccccc1)C1CC(C)N(S(=O)(=O)c2ccccc2)c2ccccc21,7.4,3.68
104,CC(=O)N1CCN(CC(O)COc2ccc(Br)cc2)CC1,7.4,1.6
105,CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(=Nc4c(F)ccc5c4OCO5)[nH]cnc3c2)CC1,7.4,3.06
106,CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,7.4,2.2
107,CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,7.4,3.2
108,CC(=O)N1CCN(c2[nH]c(C#N)nc(=NCC(C)C)c2N)CC1,7.4,2.4
109,CC(=O)N1CCN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)cc[nH]3)cc2)CC1,7.4,2.39
110,CC(=O)N1CCN(c2ccc(N=c3nc(-c4cnc5ccccn45)cc[nH]3)cc2)CC1,7.4,2.82
111,CC(=O)N1CCN(c2ccc(NC(=O)c3n[nH]c(=Nc4ccccc4F)o3)cc2)CC1,7.4,2.51
112,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,7.4,3.7
113,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,7.4,3.83
114,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,7.4,4.33
115,CC(=O)N1CCOc2cc(COc3ccccc3)cnc21,7.4,2.8
116,CC(=O)N1CCOc2nc(OCc3ccccc3)ccc21,7.4,2.4
117,CC(=O)N1CCc2cc3nc(C)cc(C)c3cc21,7.4,2.64
118,CC(=O)N=c1[nH]c(-c2ccccc2)ns1,7.4,2.8
119,CC(=O)N=c1[nH]c(-c2cccs2)cs1,7.4,2.77
120,CC(=O)N=c1[nH]c(=N)n(-c2ccccc2)[nH]1,7.4,-0.2
121,CC(=O)N=c1[nH]c(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1,7.4,0.55
122,CC(=O)N=c1[nH]c(CCc2ccc(N=C(N)N)cc2)cs1,7.4,-0.82
123,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,7.4,-0.78
124,CC(=O)N=c1cc(CN2C(=O)N(c3ccc(SC(F)(F)F)cc3)C(=O)C2(C)C)cc[nH]1,7.4,2.93
125,CC(=O)N=c1cccc[nH]1,7.4,0.5
126,CC(=O)NC(C(=O)NC(C(N)=O)C(C)C)C(C)C,7.0,-0.32
127,CC(=O)NC(C(=O)NC(C(N)=O)C(C)C)C(C)O,7.0,-1.25
128,CC(=O)NC(C(=O)NC(C)C(=O)NC(C(N)=O)C(C)C)C(C)C,7.0,-0.67
129,CC(=O)NC(C(=O)NC(C)C(=O)NC(C)C(N)=O)C(C)C,7.0,-1.4
130,CC(=O)NC(C(=O)NC(C)C(N)=O)C(C)C,7.0,-1.14
131,CC(=O)NC(C(=O)NC(CCC(N)=O)C(N)=O)C(C)C,7.0,-1.82
132,CC(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(N)=O)C(C)C,7.0,0.06
133,CC(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(C)(C)C,7.2,-0.39
134,CC(=O)NC(C)C(=O)NC(C(N)=O)C(C)C,7.0,-1.13
135,CC(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C,7.2,-0.51
136,CC(=O)NC(C)C(=O)NC(C)C(N)=O,7.0,-2.01
137,CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,2.0,-0.74
138,CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,7.2,-0.74
139,CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,10.0,-3.4
140,CC(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(N)=O)C(C)C,7.0,-0.14
141,CC(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O,7.0,-0.54
142,CC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,2.0,-0.67
143,CC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,7.2,-0.67
144,CC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(C)(C)C,10.0,-3.15
145,CC(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(C)(C)C,7.2,1.25
146,CC(=O)NC(C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C)C(=O)NC(C)(C)C,3.0,-2.03
147,CC(=O)NC(C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C)C(=O)NC(C)(C)C,7.0,-0.48
148,CC(=O)NC(C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C)C(=O)NC(C)(C)C,9.0,-0.46
149,CC(=O)NC(C)C(=O)NC(Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NC(C)(C)C,7.2,-0.48
150,CC(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(N)=O,7.0,-0.04
151,CC(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,7.0,0.26
152,CC(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)NC(C)(C)C,7.2,1.01
153,CC(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC(C)(C)C,7.2,-0.6
154,CC(=O)NC(C)C(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O,7.0,-0.71
155,CC(=O)NC(C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,7.4,3.1
156,CC(=O)NC(C=O)C(=O)NC(C(C)C)C(N)O,7.0,-1.53
157,CC(=O)NC(C=O)C(=O)NC(Cc1ccccc1)C(N)O,7.0,-0.79
158,CC(=O)NC(C=O)C(O)N(C)C(Cc1ccccc1)C(=O)NCC(=O)NCC(N)=O,7.4,-1.51
159,CC(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,7.0,-1.39
160,CC(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(C)C)C(N)=O)[C@@H](C)O,7.0,0.24
161,CC(=O)NC(CC(C)C)C(=O)NC(C(N)=O)C(C)C,7.0,0.26
162,CC(=O)NC(CC(C)C)C(=O)NC(C=O)C(O)NC(Cc1ccccc1)C(N)=O,7.0,0.23
163,CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(N)=O,7.0,-1.55
164,CC(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(N)=O,7.0,-1.3
165,CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-1.25
166,CC(=O)NC(CC(C)C)C(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-1.41
167,CC(=O)NC(CC(C)C)C(=O)NC(CCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-1.38
168,CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(N)=O,7.0,-0.93
169,CC(=O)NC(CC(N)=O)C(=O)NC(C(N)=O)C(C)C,7.0,-1.85
170,CC(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-1.14
171,CC(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,7.0,-1.52
172,CC(=O)NC(CCC(N)=O)C(=O)NC(C(N)=O)C(C)C,7.0,-1.85
173,CC(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(N)=O,7.0,-1.32
174,CC(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(N)=O,7.4,0.07
175,CC(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-1.14
176,CC(=O)NC(CCCCN)C(=O)N(C)C(Cc1ccccc1)C(=O)NCC(=O)N(C)C(CC(C)C)C(N)=O,7.4,-1.33
177,CC(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,7.0,-2.13
178,CC(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,7.0,-1.51
179,CC(=O)NC(CCCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-2.43
180,CC(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,7.0,-1.04
181,CC(=O)NC(CCC[NH3+])C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O,7.0,-1.37
182,CC(=O)NC(CCC[NH3+])C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-2.23
183,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C(N)=O)C(C)C,7.0,0.73
184,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(C(N)=O)C(C)C,7.0,0.36
185,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(C)C(N)=O,7.0,-0.38
186,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O,7.0,0.99
187,CC(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(N)=O)C(C)C,7.2,-2.06
188,CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(N)=O)C(C)C,7.0,-0.2
189,CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(N)=O,7.0,0.32
190,CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,7.0,0.54
191,CC(=O)NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(=O)NC(CCC(N)=O)C(N)=O,7.4,-2.59
192,CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,7.4,1.64
193,CC(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,7.0,0.43
194,CC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(N)=O,7.0,-1.19
195,CC(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C(=O)N(C)[C@@H](CC(C)C)C(N)=O)C(C)C,7.4,2.42
196,CC(=O)NC(Cc1ccccc1)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,7.0,-1.08
197,CC(=O)NC(Cc1ccccc1)C(=O)NC(CCC(N)=O)C(N)=O,7.0,-1.03
198,CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(N)=O,7.0,-2.23
199,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1cnc[nH]1)C(N)=O,7.0,0.89
200,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(N)=O,7.0,0.46
201,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,7.2,2.3
202,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,7.2,1.19
203,CC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NC(CC(C)C)C(N)=O,7.0,0.6
204,CC(=O)NC(Cc1ccccc1)C(=O)NCC(N)=O,7.0,-0.5
205,CC(=O)NC1CC(C)N(C(=O)c2ccccc2)c2ccccc21,7.4,2.0
206,CC(=O)NC1CC2CCCC(C1)N2C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,7.4,2.79
207,CC(=O)NC1CN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)c(F)c[nH]3)cc2)C1,7.4,2.76
208,CC(=O)NCC(=O)NC(C(N)=O)C(C)C,7.0,-1.33
209,CC(=O)NCC(=O)NC(C)C(=O)NC(C(N)=O)C(C)C,7.0,-1.56
210,CC(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(N)=O,7.0,-1.23
211,CC(=O)NCC(=O)NC(CC(C)C)C(N)=O,7.0,-0.78
212,CC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(N)=O,7.0,-1.09
213,CC(=O)NCC(=O)NC(Cc1ccccc1)C(N)=O,7.0,-0.56
214,CC(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,7.4,2.4
215,CC(=O)NCCn1ccc(=O)c(O)c1C,7.4,-1.15
216,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)nn3)c(F)c2)C(=O)O1,7.4,0.8
217,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C#N)c3)c(F)c2)C(=O)O1,7.4,1.6
218,CC(=O)NC[C@H]1CN(c2ccc(-n3ccnc3)c(F)c2)C(=O)O1,7.4,0.7
219,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(C#N)c3)c(F)c2)C(=O)O1,7.4,1.51
220,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4ccc(C#N)cn4)CC3)c(F)c2)C(=O)O1,7.4,1.98
221,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4cnccn4)CC3)c(F)c2)C(=O)O1,7.4,1.49
222,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,7.4,0.67
223,CC(=O)NC[C@H]1CN(c2ccc(N3Cc4cccnc4C3)c(F)c2)C(=O)O1,7.4,2.88
224,CC(=O)NC[C@H]1CN(c2ccc(N3Cc4ccncc4C3)c(F)c2)C(=O)O1,7.4,3.02
225,CC(=O)NCc1ccc(CN2CCN(c3ccc(F)cc3F)CC2)cc1,7.4,2.5
226,CC(=O)NCc1ccc(CN2CCN(c3ccccc3)CC2)cc1,7.4,1.78
227,CC(=O)N[C@@H](C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,7.4,3.17
228,CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccccc5c4c3)CC2)c2ccccc21,7.4,2.96
229,CC(=O)N[C@@H]1CCN(c2ccc(N=c3nc(-c4cnc(C)n4C(C)C)c(F)c[nH]3)cc2)C1,7.4,3.3
230,CC(=O)N[C@H](C)c1ccc(N=c2nc3c(C)cc(-c4ccncc4)cc3c[nH]2)cc1,7.4,3.46
231,CC(=O)N[C@H](C)c1ccc(N=c2nc3cc(C)c(-c4ccncc4)cc3c[nH]2)cc1,7.4,3.45
232,CC(=O)N[C@H](C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,7.4,3.18
233,CC(=O)Nc1cc2c(ccn2-c2cc(=NC3CC3)n3[nH]cc(C#N)c3n2)cc1C,7.4,2.66
234,CC(=O)Nc1ccc(-c2cc[nH]c(=Nc3ccc(N4CCOCC4)cc3)n2)cc1,7.4,2.91
235,CC(=O)Nc1ccc(-c2ccccc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O,7.4,1.78
