,smiles,logS
46,Cc1ccc(Br)cc1,-3.19
47,Cc1ccccc1Br,-2.23
48,Brc1ccccc1Br,-3.5
49,CC1CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.6129999999999995
50,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25
51,c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
52,Cc1ncc([N+](=O)[O-])n1CCO,-1.26
53,N=c1cc[nH]c(=O)[nH]1,-1.155
54,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01
55,COc1ccccc1OCC(O)COC(N)=O,-0.985
56,N=c1[nH]c(=O)[nH]c2[nH]cnc12,-3.4010000000000002
57,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
58,CC=C(C)C,-2.56
59,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-3.2460000000000004
60,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.7960000000000003
61,c1ccc2ccccc2c1,-3.6
62,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.6
63,Brc1ccc2ccccc2c1,-4.4
64,CCCCC(O)CC,-1.47
65,OCC1OC(O)(CO)C(O)C1O,0.64
66,CCCCCCCCCCO,-3.63
67,Cc1ccc2cc3ccccc3cc2c1,-6.96
68,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
69,CCCSCCC,-2.58
70,CCCOC,-0.39
71,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003
72,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8
73,CCC(C)(C)CO,-1.04
74,CSc1nc(N(C)C)nc(N(C)C)n1,-2.676
75,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.955
76,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7
77,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.5180000000000002
78,COc1ccc(NC(=O)N(C)C)cc1Cl,-2.5639999999999996
79,Cc1ccc(S(N)(=O)=O)cc1,-1.74
80,Brc1cc(Br)c(Br)cc1Br,-6.98
81,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-3.0210000000000004
82,Cc1ccc(O)cc1C,-1.38
83,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.39
84,CCSCC,-1.34
85,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11
86,O=[N+]([O-])c1ccccc1,-1.8
87,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
88,CCCCc1c(C)nc(=NCC)[nH]c1OS(=O)(=O)N(C)C,-4.16
89,C=CCCCCCCCC,-5.51
90,O=Cc1ccco1,-0.1
91,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.89
92,Nc1cccc2ccccc12,-1.92
93,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301
94,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.8759999999999999
95,C1CCCCC1,-3.1
96,COc1ccc(C=O)cc1,-1.49
97,CCCOC(C)=O,-0.72
98,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28
99,Oc1ccc(Cl)cc1,-0.7
100,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39
101,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324
102,C1CCCC1,-2.64
103,Ic1cccc2ccccc12,-4.55
104,CCCCCOC(C)=O,-1.89
105,COc1ccccc1,-1.85
106,CCN=c1[nH]c(Cl)nc(=NC(C)(C)C#N)[nH]1,-3.15
107,Cc1cc(C)c(C)cc1C,-4.59
108,C1=CCC=CC1,-2.06
109,Clc1ccccc1-c1ccccc1,-4.54
110,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8.0
111,COc1ncc2nccnc2n1,-1.11
112,C1CCOC1,0.49
113,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45
114,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12
115,Clc1ccc(-c2c(Cl)cccc2Cl)cc1,-6.14
116,Brc1ccc(I)cc1,-4.56
117,CC(C)=CCC/C(C)=C\CO,-2.46
118,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.53
119,Cc1c2ccccc2c(C)c2ccccc12,-6.57
120,CCCCCC1CCCC1,-6.08
121,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
122,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-0.244
123,CCCCCCCCC,-5.88
124,CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-3.8169999999999997
125,Cc1ccc([N+](=O)[O-])cc1,-2.49
126,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,-3.84
127,C=Cc1ccccc1,-2.82
128,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46
129,CCc1cccc2ccccc12,-4.17
130,Clc1ccccc1Br,-3.19
131,Cc1ccncc1C,0.36
132,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017000000000001
133,COc1cc2c(=N)[nH]c(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-3.638
134,Brc1ccc(Br)cc1,-4.07
135,Oc1c2c(c(O)n1SC(Cl)(Cl)C(Cl)Cl)CC=CC2,-5.4
136,NC(=O)CCl,-0.02
137,CC(C)CNC(=O)N1CCNC1=O,-2.15
138,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153
139,O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.9819999999999998
140,FC(F)(F)c1ccccc1,-2.51
141,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-6.307
142,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35
143,CC(=O)Nc1ccc(O)cc1,-1.03
144,Oc1ccc(Cl)c(Cl)c1Cl,-2.67
145,CC(C)CCO,-0.51
146,Cc1ccc(O)c(C)c1,-1.19
147,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.253
148,C#CCCC,-1.64
149,O=c1c(C(CC(O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)c(O)oc2ccccc12,-4.445
150,CCCOCCC,-1.62
151,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.685
152,CCCC1CCCC1,-4.74
153,C=CCCCCC,-3.73
154,C=CC(C)(O)CCC=C(C)C,-1.99
155,COc1cc(O)c2c(c1)OC1CCC(=O)CC1C2=O,-2.943
156,Clc1ccc(Cl)c(Cl)c1Cl,-4.57
157,CCOC(N)=O,0.85
158,FC(F)(Cl)C(F)(Cl)Cl,-3.04
159,Oc1csc(=S)[nH]1,-1.77
160,CCCCS,-2.18
161,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0
162,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18
163,c1ccc2[nH]ccc2c1,-1.52
164,CCSSCC,-2.42
165,CC12CCC(C1)C(C)(C)C2=O,-1.85
166,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.56
167,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.2860000000000005
168,CCCCCCCCCCCCCC,-7.96
169,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
170,CC(Cl)(Cl)Cl,-2.0
171,COc1ccc(Cl)cc1,-2.78
172,C/C=C/CC,-2.54
173,Cc1cccc2c1ccc1ccccc12,-5.85
174,CC(C)C(O)C(C)C,-1.22
175,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04
176,CCCCOCCO,-0.42
177,Ic1ccccc1,-3.01
178,CCCC(C)CO,-1.11
179,Brc1ccc(Br)c(Br)c1,-4.5
180,CNC(=O)Oc1cccc2ccccc12,-3.2239999999999998
181,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.291
182,CCC(C)C(C)C,-4.28
183,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88
184,CCC(C)CO,-0.47
185,c1ccc2[nH]nnc2c1,-0.78
186,CCCCSP(=O)(SCCCC)SCCCC,-5.14
187,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.6919999999999997
188,C1=Cc2cccc3cccc1c23,-3.96
189,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-4.71
190,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87
191,CCCCCCC,-4.53
192,C=CC(=C)C,-2.03
193,CCCCC(C)=O,-0.8
194,ClC(Cl)C(Cl)Cl,-1.74
195,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523
196,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
197,CC[N+](=O)[O-],-0.22
198,CCOC(=O)C=Cc1ccccc1,-3.0
199,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.6960000000000015
200,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09
201,CCC(C=O)CC,-1.52
202,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046
203,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.445
204,CC1CCC(C(C)C)C(=O)C1,-2.35
205,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.8769999999999998
206,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37
207,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92
208,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93
209,CCCOC=O,-0.49
210,c1ccc2c(c1)c1ccccc1c1ccccc21,-6.726
211,Cc1ccc(C(C)C)cc1O,-2.08
212,CCCCCC(C)O,-1.55
213,Oc1c(C2=CCC(c3ccc(Cl)cc3)CC2)c(O)c2ccccc2c1O,-5.931
214,c1cnc2c(c1)ccc1ncccc12,-2.68
215,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,-4.88
216,Cc1cc2ccccc2c2ccc3ccccc3c12,-6.59
217,Cc1ccc2c(ccc3ccccc32)c1,-5.84
218,Clc1cccc(-c2ccccc2)c1,-4.88
219,Cc1cccc2c1Cc1ccccc1-2,-5.22
220,CCCOCC,-0.66
221,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2
222,CCCC(O)CC,-0.8
223,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2
224,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39
225,CCNc1ccccc1,-1.7
226,CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.173
227,O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,-3.38
228,CC(C)CC(C)(C)O,-0.92
229,CCOC=O,0.15
230,CCC(C)=O,0.52
231,COC(=O)c1ccccc1OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,-0.742
232,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41
233,BrC(Br)(Br)Br,-3.14
234,CCCOC(=O)CC,-0.82
235,Oc1c(Cl)ccc(Cl)c1Cl,-2.64
236,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85
237,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64
238,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
239,CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-2.86
240,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31
241,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-1.456
242,Oc1cc2c(cc1O)=C1c3ccc(O)c(O)c3OCC1(O)C=2,-2.7
243,CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9
244,CCC(=O)CC,-0.28
245,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-8.71
246,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89
247,CCN1c2ccccc2C(=O)N(C)c2ccccc21,-4.749
248,CCC(C)(O)CC,-0.36
249,CNC(=O)Oc1ccccc1,-1.8030000000000002
250,CCOc1ccccc1,-2.33
251,Oc1c2ccccc2cc2ccccc12,-4.73
252,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322
253,Oc1[nH]c(O)c2c1C1C=C(C(O)(c3ccccc3)c3ccccn3)C2C1=C(c1ccccc1)c1ccccn1,-3.931
254,C=CCCC=C,-2.68
255,CCC(Br)(CC)C(=O)NC(N)=O,-2.68
256,CC1CCCCC1NC(=O)Nc1ccccc1,-4.11
257,CN(C)c1nc(N(C)C)nc(N(C)C)n1,-3.364
258,NNC(=O)c1ccncc1,0.009000000000000001
259,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.593
260,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68
261,CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1,-3.59
262,Clc1cccc(Cl)c1Cl,-4.0
263,O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.37
264,CCCC(=O)OCC,-1.36
265,CCCCOCCCC,-1.85
266,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56
267,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01
268,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84
269,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29
270,CC(=O)Nc1ccc(F)cc1,-1.78
271,CCC(C)(C)O,0.15
272,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
273,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
274,c1ccc2cc3ccccc3cc2c1,-6.35
275,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.24
276,CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83
277,CC(C)(C)CCO,-0.5
278,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24
279,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24
280,Nc1ccc2cc3ccccc3cc2c1,-5.17
281,CCCOC(C)C,-1.34
282,CCc1ccc2ccccc2c1,-4.29
283,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.7539999999999996
284,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2
285,CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.099
286,CC(C)SC(C)C,-2.24
287,Cc1cccc(C)n1,0.45
288,CC(C)(C)CO,-0.4
289,CCCc1ccccc1,-3.37
290,Cc1ccnc(C)c1,0.38
291,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29
292,C1=CCCCC1,-2.59
293,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523
294,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15
295,CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,-4.43
296,c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
297,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
298,Cn1ccc(=O)[nH]c1=O,-0.807
299,CCCC=C(C=O)CC,-2.46
300,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6
301,C=C(C)C(=C)C,-2.4
302,Clc1ccccc1Cl,-3.05
303,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-5.115
304,Fc1cccc(Br)c1,-2.67
305,OCC(O)C(O)CO,0.7
306,CC12CC(=O)C3C(CC=C4CC(=O)CCC43C)C1CCC2=O,-3.48
307,Clc1ccc(Cl)c(Cl)c1,-3.59
308,O=C(Nc1ccccc1)c1ccccc1I,-4.21
309,Cc1ccc2ccccc2c1,-3.77
310,c1ccc(Cc2ccccc2)cc1,-4.08
311,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
312,Cc1ncc2nccnc2n1,-0.12
313,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-2.36
314,OC1CCCCCCC1,-1.29
315,O=C(OCC(O)CO)c1ccccc1N=c1cc[nH]c2cc(Cl)ccc12,-4.5710000000000015
316,Cc1cccc(C)c1,-2.82
317,CC(C)OC=O,-0.63
318,Cc1cc(C(=O)NNCc2ccccc2)no1,-2.461
319,c1ccnnc1,1.1
320,CC(=O)Nc1ccc(Cl)cc1,-2.843
321,CCCCCCCBr,-4.43
322,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
323,N=c1[nH]c(N2CCCCC2)cc(N)[n+]1[O-],-1.989
324,CCCOC(=O)c1ccc(N)cc1,-2.452
325,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015
326,Cc1ccccc1[N+](=O)[O-],-2.33
327,Oc1ccccc1Cl,-1.06
328,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17
329,Cc1cc(Cl)ccc1N=CN(C)C,-2.86
330,NC(=O)NCc1ccccc1,-0.95
331,O=C(c1ccccc1)c1ccccc1,-3.12
332,CCCc1c(O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,-3.5380000000000003
333,CC1CCCCC1C,-4.3
334,CCC1CCCCC1,-4.25
335,OCc1ccccc1,-0.4
336,CC(C)CO,0.1
337,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09
338,C=COCC,-0.85
339,ClCc1ccccc1,-2.39
340,Cc1ccc2ccc(C)nc2c1,-1.94
341,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
342,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.02
343,NC(=O)Nc1[nH]c(=O)[nH]c1O,-1.6
344,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81
345,COc1cccc(Cl)c1,-2.78
346,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.89
347,CCCCCCCC(C)O,-2.74
348,C=CCCC,-2.68
349,O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.22
350,Nc1cccc2nc3ccccc3cc12,-4.22
351,N#Cc1ccccc1,-1.0
352,CC(C)Cc1ccccc1,-4.12
353,CCCCI,-2.96
354,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76
355,CCCCCCCCCCCCCCCC,-8.4
356,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38
357,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127
358,CCCCCC(C)=O,-1.45
359,CCOP(=O)(OCC)OCC,0.43
360,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64
361,CC(C)C(C)C,-3.65
362,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
363,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
364,CCCC(C)C,-3.74
365,CN(C)C(=O)N(C)C,0.94
366,CCCCOC(=O)c1ccc(N)cc1,-3.082
367,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
368,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9
369,C/C=C/C=O,0.32
370,C=CC(O)CCC,-0.59
371,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38
372,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
373,CCCCc1ccccc1,-4.06
374,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59
375,C=CCCCO,-0.15
376,C#CCCCC,-2.36
377,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68
378,Oc1ccccc1O,0.62
379,c1ccc(Nc2ccccc2)cc1,-3.5039999999999996
380,COC(=O)c1cc(O)c(O)c(O)c1,-1.24
381,CCCC(=O)OC,-1.92
382,c1ccc2c(c1)[nH]c1ccccc12,-5.27
383,Clc1ccc(-c2ccccc2Cl)cc1,-5.28
384,N#Cc1cc(I)c(O)c(I)c1,-3.61
385,C=C(Cl)CSC(=S)N(CC)CC,-3.39
386,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8
387,Cc1ccccc1C,-2.8
388,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328
389,OCC1OC(O)C(O)C(O)C1O,0.74
390,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
391,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876
392,CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14
393,Oc1ccc(O)cc1,-0.17
394,COc1ccc([N+](=O)[O-])cc1,-2.41
395,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82
396,Cc1ccc(-c2ccccc2)cc1,-4.62
397,CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
398,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
399,c1ccc(-c2ccccc2)cc1,-4.345
400,CCOc1ccc(NC(N)=O)cc1,-2.17
401,Fc1ccc(F)cc1,-1.97
402,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)NC1=O,-3.952
403,Oc1ccc2ccccc2c1,-2.28
404,CCC#CCC,-1.99
405,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57
406,c1cc2c3c(cccc3c1)CC2,-4.63
407,Cc1cc2ccccc2cc1C,-4.72
408,COC(=O)c1ccc(O)cc1,-1.827
409,CCCCCCCCCCCCCCCCCCCC,-8.172
410,CC(=O)c1ccccc1,-1.28
411,Oc1cccc2cccnc12,-2.42
412,CC1=CC(=O)c2ccccc2C1=O,-3.03
413,CC1CCCCC1,-3.85
414,Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47
415,C#CCCCCC,-3.01
416,COC(=O)c1cccnc1,-0.46
417,C1=CCCCCC1,-3.18
418,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65
419,CCC(C)O,0.47
420,CCCC(C)O,-0.29
421,CCSCc1ccccc1OC(=O)NC,-2.09
422,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.16
423,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
424,CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,-4.553999999999999
425,CCCC(C)(O)CC,-0.98
426,O=C1c2ccccc2Cc2ccccc2N1CCF,-4.7989999999999995
427,CCc1ccc(CC)cc1,-3.75
428,C=CCCCCCCC,-5.05
429,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.29
430,CN1C(=O)c2cccnc2Oc2ccccc21,-3.6719999999999997
431,OCC(O)C(O)C(O)C(O)CO,1.09
432,C=CC(C)C,-2.73
433,Sc1ccccc1,-2.12
434,OCCOc1ccccc1,-0.7
435,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-3.81
436,CCOc1ccc(NC(C)=O)cc1,-2.35
437,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057
438,Cc1cc(C)c(C)c(C)c1C,-4.0
439,Cc1cc(C)cc(O)c1,-1.4
440,Cc1ccc(C)cc1,-2.77
441,Clc1cccc(Cl)c1-c1ccccc1,-5.21
442,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
443,c1ccc(Oc2ccccc2)cc1,-3.96
444,CC(C)CCl,-2.0
