,smiles,logP,logD
77,CC(C)CCO[N+](=O)[O-],2.84,
78,Cc1cc(SCC(=O)NCc2ccc3c(c2)OCO3)nc2ccccc12,4.15,
79,O=S1(=O)N=C(C(F)(F)F)Nc2cc(Cl)ccc21,1.65,
80,NCCC(N)C(=O)O,-4.64,
81,CCOC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCC1,2.31,
82,COc1ccc2c(c1)OCC2NC(=O)CN1CCCC1,1.92,
83,O=C(O)c1cc(O)c(C(O)C2CC2)c(O)c1,1.8,
84,O=C(Nc1ccc2c(c1)OCO2)C1COc2ccccc2O1,3.28,
85,Clc1c(Cl)c(Cl)c(Oc2ccccc2)c(Cl)c1Cl,6.37,
86,C#CCCC(C)=O,0.58,
87,CCOC(=O)c1ccccn1,0.87,
88,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,0.94,
89,O=C(O)CCC1=NS(=O)(=O)c2ccccc2N1,-0.18,
90,O=[N+]([O-])c1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.78,
91,NC1CC2OC1c1ccccc12,0.4,
92,CCc1ssc(=O)c1-c1ccccc1,3.15,
93,CCN(CC)CCSC(=NO)c1nc(C(C)(C)C)no1,2.02,
94,c1ccc(Oc2ccccn2)cc1,2.39,
95,CN(C)C(=O)OCCCc1cccnc1,1.44,
96,O=C(NP(=O)(N1CC1)N1CC1)c1ccccc1Br,1.08,
97,CCCCCC(=O)Nc1ccccc1,3.28,
98,BrC=C(Br)Br,3.2,
99,CC(C)(C)C(=O)OCOC(=O)C1=C(CSc2nncs2)CSC2C(NC(=O)Cn3cnnn3)C(=O)N12,1.45,
100,O=C(O)Cc1ccccc1I,2.33,
101,COc1cc(C)n(-c2cc(C)nc(C)n2)n1,2.6,
102,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.33,1.06
103,CC(C)N(N=O)C(=O)Nc1ccccc1,2.5,
104,COc1c(OC)c(OC(C)=O)c2cc(Br)ccc2c1OC(C)=O,3.39,
105,N=c1[nH]ncs1,-0.57,
106,O=C(O)CC(O)(CC(=O)O)C(=O)O,-1.72,
107,COc1ccc(=NS(=O)(=O)c2ccc(NC(C)=O)cc2)[nH]n1,0.37,
108,Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,8.5,
109,C=CC(=O)NCCN1CCOCC1,-0.55,
110,O=c1[nH]c(=Nc2ccccc2)[nH]c2c1ncn2C1CC(O)C(CO)O1,0.4,
111,CCC(C)N,0.74,
112,CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,2.34,
113,CC(C)(CCC(=O)O)C(=O)O,0.67,
114,C1COCCOCCOCCOCCO1,-0.48,
115,CNC(=O)COC(=O)c1ccccc1,0.99,
116,CCc1cccc(C(C)C)c1NC(C)=O,2.1,
117,COc1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1,3.64,
118,CC(C)N(Cc1nc(-c2ccccc2)no1)C(=O)c1ccccc1CCc1ccccc1,5.98,
119,Cc1ccccc1C(=O)C(C)CN1CCCCC1,3.69,
120,Cc1cccc(N=c2c([N+](=O)[O-])c(C)[nH]n2-c2ccccc2)c1,3.25,
121,N=c1[nH]cnc2c1ncn2C1OC(CO)CC1F,-0.14,
122,BrCCCc1ccccc1,3.72,
123,CC(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(N)=O,-1.14,
124,O=C(O)c1ccc(O)c(Cl)c1,2.41,
125,C#CCNC(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1,0.23,
126,CC(C)(C(=O)O)C(=O)O,0.39,
127,Cc1c(O)c(=O)ccn1-c1ccccc1,1.12,
128,CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,1.9,
129,COC(=O)C(C)=CC1C(C(=O)OC)C1(C)C,2.67,
130,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,3.75,
131,Cc1cccc(Cl)c1C(=O)O,2.31,
132,O=[N+]([O-])c1nccn1CCN1CCCCC1,0.36,
133,CC(C)C(C)P(C)(C)=O,1.08,
134,O=C(O)c1ccc(Br)cc1,2.86,
135,CCCCN1C(=O)c2ccc(C(=O)OCC(=O)N[C@H](C)C(C)C)cc2C1=O,3.62,
136,CNC(=O)Oc1ccccc1OC(C)C,1.52,
137,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)c(F)c21,-0.57,
138,NC(C(=O)O)C1CCCC1,-1.31,
139,CC(C)(C)C(COc1ccc(C#N)cc1)OC(=O)n1ccnc1,3.15,
140,CC(C)(C)OC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CC1,2.68,
141,C1CN2CCC1CC2,1.38,
142,COc1ccc(C(=O)CSc2nnc(-c3ccccc3)o2)cc1,4.15,
143,C=c1[nH]cc(CO)c(=CNNC(=O)c2cccc(Br)c2)c1=O,3.07,
144,O=C(O)c1cccc([N+](=O)[O-])c1,1.83,
145,Cn1c(C(O)CO)cnc1[N+](=O)[O-],-0.89,
146,C=C1C(=O)OC2C1C(OC(=O)C(C)=CC)CC(=C)C1C(O)C3OC3(C)C21O,1.69,
147,CC(=O)Oc1ccccc1C(C)C,2.78,
148,O=C(C=Cc1ccccc1)C(F)(F)F,3.01,
149,COc1cc(OC)cc(OC(=O)CNC(=O)c2ccccc2)c1,2.69,
150,O=S1(=O)N=C(C2CCC2)Nc2ccc(Cl)cc21,2.24,
151,CSCCC(N)C(=O)O,-1.87,
152,Cc1ccc(-c2cc3ccccn3c2)cc1,4.96,
153,O=C(O)c1ccc(O)cc1O,1.63,
154,Cc1ccc(O)cc1,1.94,
155,CC(C)N1CCOC(c2cccc(Cl)c2)C1,3.27,
156,Clc1ccc(Oc2cc(Cl)cc(Cl)c2Cl)cc1,6.01,
157,COc1cccc(N)c1,0.93,
158,CC(=O)N=C1CC(=O)N(c2ccc(Cl)cc2)C1=O,0.75,
159,CCCCCCCCC#N,3.12,
160,CC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,0.61,
161,O=C(NCCCNCCCNc1n[n+]([O-])c2ccccc2[n+]1[O-])c1cccc2cc3ccccc3nc12,0.88,
162,Cc1cccc2c(=N)cn[nH]c12,1.57,
163,OCCSCCO,-0.63,
164,CC1(C)CC(NC(=O)NP(=O)(N2CC2(C)C)N2CC2(C)C)CC(C)(C)N1,0.55,
165,CN(C)N=Nc1ccc([N+](=O)[O-])cc1,3.25,
166,COc1c(OC)c(OC(C)=O)c2c(C#N)cccc2c1OC(C)=O,2.51,
167,CCN(CC)CCNC(=O)c1cc(Br)ccc1OC,3.2,
168,C1C2C3C2C2C1C32,2.9,
169,N=c1ccc2ccccc2[nH]1,1.87,1.7
170,COc1cncc(=N)[nH]1,0.73,
171,N#CC=Cc1ccc([N+](=O)[O-])o1,1.05,
172,O=C1C=NC(c2cccc(Br)c2)c2cc(Br)ccc2N1,3.88,
173,CCCOC(=O)c1ccccc1C(=O)OCCC,3.27,
174,CCOc1ccccc1-c1nc(=N)[nH]c(=N)[nH]1,1.03,
175,Fc1cccc(Cl)c1,2.76,
176,C(=N/c1ccccc1)\c1ccccc1,2.82,
177,N=c1[nH]cnc2c1ncn2Cc1ccccc1,1.7,1.53
178,CNC1C2CCC1c1ccccc12,2.37,
179,CSc1nc2c(C#N)c(SC)nn2c(-c2ccc(Cl)cc2)c1C#N,5.51,
180,CC(=O)Nc1cc(C(F)(F)F)c(F)cc1F,2.34,
181,N=c1[nH][n+]([O-])c2ccccc2[n+]1[O-],-0.3,
182,CN(C)C(=O)OCc1cccc(N)c1,1.06,
183,O=[PH](=O)(O)CCCl,-0.22,
184,O=[N+]([O-])c1cnc(N=C2OCCN2CCO)s1,0.43,
185,C1CCCCC1,3.44,
186,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(=O)CN(C)C)C5(CC)C=CCN6CCC43C65)C2)C1,4.02,
187,Cc1nc(-c2ccc(C(C)C(=O)O)cc2)sc1C,3.36,
188,CC(C)NC(=O)NN,-1.3,
189,CCc1nc2sc(C#N)c(N)n2c(=O)c1C#N,2.09,
190,O=CCc1ccccc1,1.78,
191,CSCCNCc1cc2cc(S(N)(=O)=O)sc2s1,1.18,
192,COC(=O)Nc1ccccc1F,1.66,
193,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,1.26,
194,NCC(=O)NC(Cc1ccccc1)C(=O)[O-],-0.56,
195,CCCOc1cnccn1,1.84,
196,N#Cc1cccc(N)c1,1.07,
197,CN1C(=O)C(=Cc2ccc([N+](=O)[O-])o2)SC1=S,1.06,
198,COc1ccc(OC(=O)N(C)C)cc1,1.53,
199,CN(CC(C)(C)C)N=O,1.34,
200,OCc1cccc(C(F)(F)F)c1,2.24,
201,Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1.76,
202,Cc1occc(=O)c1O,0.09,
203,CCCCCCCCCC,5.01,
204,Clc1cc(Cl)c(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,7.39,
205,O=C(O)COc1ccc2c(c1)CCCC2,2.67,
206,COC(=O)c1c(C)[nH]c(-c2cc(Cl)ccn2)c1C(=O)OC,2.63,
207,Cc1cc(C)c2oc(=O)sc2c1,3.25,
208,CC(C)CC(NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)NC(C(=O)[O-])C(C)C,-1.45,
209,C=CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC,1.37,
210,Clc1cccc(-c2ccccc2)c1Cl,5.02,
211,O=C(Nc1ccc(Cl)cc1)c1cc([N+](=O)[O-])ccc1O,2.54,
212,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)ccc1C,2.14,
213,CC=C(C)C1(C)CC(=O)C(C(CCC)=NOCC)C(=O)O1,3.4,
214,N#CC1CCCN1C(=O)C1=C(C(=O)CCCc2ccccc2)CCC1,2.4,
215,OCC1OC(Oc2cc(OC3OC(CO)C(O)C(O)C3O)c(I)cc2I)C(O)C(O)C1O,-0.25,
216,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,0.96,
217,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.36,
218,CC1CN(N=O)CC(C)O1,0.32,
219,OC(c1ccccc1)C1CCCCN1,1.58,
220,[N-]=[N+]=NC1CC(n2ccc(=O)[nH]c2=O)OC1CO,-0.32,
221,O=C(O)CCSC1=NS(=O)(=O)c2ccccc2N1,0.66,
222,O=[N+]([O-])c1cccc(Cl)c1Cl,3.05,
223,CCC(C(=O)OCc1ccc(C)cc1)C(COC(=O)C(C)(C)C)Cc1cncn1C,4.55,
224,O=C(O)Cc1cccc(Br)c1,2.37,
225,O=[N+]([O-])c1ccc(C=NO)cc1,1.95,
226,CCCCCCCCn1cc(C)c(=O)[nH]c1=O,3.08,
227,Nc1cc2ccccc2cc1N,1.54,
228,ON=Cc1ccccc1,1.85,
229,CCCCCCCN(C)N=Nc1ccc(C(N)=O)cc1,4.2,
230,CCC1COC(Cn2cncn2)(c2ccc(NC(=O)C(F)(F)F)cc2)O1,1.08,
231,O=C(O)COc1cccc(SC(F)(F)F)c1,2.86,
232,CC(=O)Oc1cccc(C)c1,2.09,
233,CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCCOc2ccccc2)cc1,3.27,
234,C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,5.3,
235,CNC(=O)ON=C1SCOC1CCOC,0.51,
236,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,2.71,
237,O=CNc1cccc2cccnc12,1.8,
238,c1ccc2c(c1)ccc1cccnc12,3.43,
239,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1,0.29,
240,COc1ccccc1N1CCN(CC2CN=C(N)O2)CC1,0.76,
241,CCNP(=O)(OCC)ON=C(C#N)c1ccc(OC)cc1,2.39,
242,O=[N+]([O-])c1ccc2[nH]cnc2c1,1.5,
243,Cc1ncc(CO)c(COCCC(C)C)c1O,0.83,
244,CN(C(=O)CCI)c1ccc(S(=O)(=O)N(C)C)cc1,1.39,
245,CC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,2.7,
246,CC12C=CC(=O)C=C1C(F)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.51,
247,CCOC(=O)N1CCN(C(=O)c2noc3c2C[C@@H](C(C)(C)C)CC3)CC1,4.52,
248,CCc1cccc(C2C(=O)c3ccccc3C2=O)c1,3.92,
249,CC1=NS(=O)(=O)c2cc(S(=O)(=O)N(C)C)ccc2N1,0.32,
250,CCc1c(C)ssc1=S,2.94,
251,COc1cccc(CC(C)N)c1OC,1.49,
252,Cc1nccnc1C,0.54,
253,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(F)(F)F)NS2(=O)=O,0.49,
254,CCN(C)N=Nc1ccccc1C(N)=O,2.59,
255,OC1C2CCC(C2)C1O,0.4,
256,CS(C)(=O)=O,-1.41,
257,COCCN(C(=O)CCl)c1c(C)cccc1C,2.17,
258,Cc1cnc2n(c1=O)C(C)CCC2,0.82,
259,CCSC(=O)N(CC)C1CCCCC1,3.88,
260,c1ccc(-n2cnnn2)cc1,1.09,
261,O=Cc1ccc[nH]1,0.64,
262,CN(CC(F)(F)F)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.37,
263,COc1ccccc1Cl,2.68,
264,CCC(C)c1ccc(O)cc1,3.08,
265,CCCCCC(C)N,2.4,
266,NC(C(=O)OCn1ncc2c(=O)[nH]cnc21)c1ccccc1,-0.15,
267,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(NC(=O)c3nn(-c4ccc(S(N)(=O)=O)cc4)c(=O)[nH]c3=O)c3ccc(O)cc3)C2SC1,-0.39,
268,O=C(CCCCCN1C(=O)/C(=C\c2cccs2)SC1=S)N1CCOCC1,4.92,
269,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,5.4,
270,Oc1cc(O)n(Cc2ccccc2)c1,0.76,
271,COc1c(OC)c(OC(C)=O)c2cc(Cl)ccc2c1OC(C)=O,3.26,
272,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2ccccc2)c1,1.86,
273,CC(=O)OC(C(=O)ON=C(C)C12CC3CC(CC(C3)C1)C2)c1ccccc1,5.89,
274,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,5.62,
275,Clc1ccc(Oc2cc(Cl)ccc2Cl)cc1,5.66,
276,CCn1cc(C(=O)OCOC(C)=O)c(=O)c2ccc(C)nc21,1.21,
277,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,1.77,
278,CSc1ccccc1NC(C)=O,1.53,
279,Clc1ccc(/C=N/N=C2Cn3c(nc4ccccc43)NN2)cc1,4.81,
280,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2)cc1,6.3,
281,O=C(Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3cccs3)cc2)cc1)c1cccs1,4.46,
282,COc1cncc(C#N)n1,0.95,
283,CC(=O)c1ccc2c(c1)=C(c1ccccc1F)NCC(=O)N=2,1.75,
284,CCCCCOc1cccc(O)c1,3.63,
285,c1ccc2occc2c1,2.67,
286,CSC(C)=NO,1.12,
287,O=[N+]([O-])c1ccccc1,1.85,
288,Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)N1CCOCC1,3.08,
289,C=CC(CC)OC(=O)Nc1ccc(OCC)c(OCC)c1,3.42,
290,N#Cc1c[nH]c(=O)[nH]c1=O,-0.93,
291,O=c1[nH]c(=O)n(C2CCC(CO)O2)cc1I,-0.61,
292,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.6,
293,O=C(O)C1c2ccccc2Sc2ccccc21,2.57,
294,CC(=O)Nc1cc(C)cc(C)c1,2.17,
295,S=C1CCCCCN1,0.75,
296,Cc1cc(Cl)ccc1NC(=S)NCCc1c[nH]c2ccccc12,4.34,
297,CC(O)CNc1ccccc1C(N)=O,0.62,
298,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCC2)cc1,1.34,
299,CC(=O)OC1CCCCC1NC(=O)N(CCCl)N=O,1.93,
300,CCCOC(=O)Nc1ccccc1,2.8,
301,O=C1c2ccccc2C(=O)c2c(O)cccc21,3.52,
302,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,6.29,
303,Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,3.9,
304,OC(CN1CCCC1)(c1ccc(F)cc1)c1ccc(-c2ccncc2)cc1,3.84,
305,CCCCCCCCCCCC[N+](C)(C)CCS(=O)(=O)[O-],1.79,
306,Cc1ccc(C=O)o1,0.67,
307,CCOCC,0.89,
308,OC(CNCC(O)COc1ccccc1)COc1ccccc1,2.52,
309,CCN(CC)CCSC(=NO)c1nc(-c2ccccc2)no1,2.88,
310,CCC(O)CCC(F)(F)F,1.7,
311,COC(=O)c1c(Cl)cccc1[N+](=O)[O-],2.21,
312,COc1cc(C(=O)OC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc(OC)c1OC,3.75,
313,NC(Cc1cnccn1)C(=O)O,-2.79,
314,N=c1[nH]c(=O)c2[nH]nnc2[nH]1,-0.71,
315,COc1cc2ccc(=NC(C)=O)c3c(c2c(OC)c1OC)CCC(N)C(=O)C3,0.3,
316,CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.81,
317,Cc1ncc([N+](=O)[O-])n1CCSC(=S)N(C)C,1.28,
318,S=C=Nc1cccc(Br)c1,4.12,
319,COc1cccc(OC)n1,2.3,
320,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,-1.85,
321,Cc1cc(C)nc(-n2nc(C)c3c2N=C2CC(C)(C)CC(=O)C2[C@@H]3c2ccco2)n1,4.34,
322,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(N)C(C)C(O)C1(C)O,3.0,
323,COc1cc2[nH]c(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(=N)c2cc1OC,3.3,
324,Cc1[nH]c(=O)n(OCCCl)c(=O)c1Br,0.3,
325,CN(C)/N=N/c1cccc(C(F)(F)F)c1,3.78,
326,CN=c1nc(C(Cl)(Cl)Cl)nc(C)[nH]1,2.43,
327,CC(C)(C)c1cccc(C(C)(C)C)c1O,4.92,
328,NC(=S)N1CCCCC1,0.73,
329,CCn1ccc(=O)c(O)c1,-0.4,
330,OCc1cc(Br)cc(Br)c1O,2.72,
331,COc1cc(OC)c(CC(C)N)c(OC)c1,1.57,
332,FC(F)(F)c1ccccc1,3.01,
333,C1COCO1,-0.37,
334,CCCCCCNC(=S)NC,2.31,
335,COC(=O)c1ccccc1OC(C)=O,1.46,
336,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-0.62,
337,S=c1[nH]c(-c2ccccc2)ns1,2.13,
338,Nc1cccc(S(=O)(=O)O[Na])c1,-3.4,
339,O=C1OC(O)c2ccccc21,0.57,
340,FC(F)(F)c1ccccc1NC1=NCCN1,1.42,
341,C[C@@H](CCc1ccccc1)NC(=O)C(=O)NC[C@@H]1COc2ccccc2O1,4.8,
342,N=c1[nH]c2cc(Cl)ccc2o1,2.46,
343,COCCNC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1,1.7,
344,NS(=O)(=O)c1cc2cc(CNCCO)sc2s1,-0.72,
345,CSC(C)=NOC(=O)N(C)SN(C)C(=O)OC1CCCCC1,3.6,
346,CC(=O)NC1CCSC1=O,-0.35,
347,CCOP(=S)(OCC)Oc1ccc(N)cc1,2.6,
348,CN(C)C(=O)c1ccsc1,0.55,
349,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC21C,4.22,
350,CCOC(=O)c1cnc2cc(C)ccn2c1=O,0.9,
351,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(C(=O)O)c1ccccc1,1.22,
352,CNC(=O)CNC(C)=O,-1.56,
353,COc1ccc(C=NN(C)P(=O)(N2CC2)N2CC2)cc1,0.47,
354,CC(=O)n1cc(O)n(CC(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)cs2)c1=S,4.43,
355,CCN(CC)CCNC(=O)c1cc(I)c(N)cc1OC,3.09,
356,NC(Cc1ccccc1)Cc1ccccc1,3.35,
357,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,4.1,
358,Cc1ncc([N+](=O)[O-])n1CCO,-0.02,-0.11
359,Cc1cccc(C)c1NC(=O)CNC(=O)C1CCN(S(=O)(=O)c2cccc(Cl)c2Cl)CC1,3.41,
360,CCC(C)c1ccccc1OCC(=O)O,3.32,
361,Clc1cc(Cl)c(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,7.15,
362,CC(=O)OCCC(C)C,2.25,
363,CN(C)c1ccc2cccnc2c1,2.71,
364,CCCCCCSC1OC(CO)C(O)C(O)C1O,0.86,
365,COCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,2.21,
366,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(c5coc(O)c5)C(O)CC43O)C2)CC(O)C1O,1.77,
367,CNC(=S)NCCSCc1c[nH]cn1,0.16,
